,subj_idx,response,rt,gain,loss
0,1,1.0,2.388,14,-6
1,1,1.0,2.289,34,-14
2,1,1.0,1.8730000000000002,34,-13
3,1,0.0,1.4569999999999999,10,-10
4,1,0.0,1.973,12,-19
5,1,1.0,1.767,20,-8
6,1,1.0,1.561,28,-9
7,1,1.0,2.289,20,-15
8,1,1.0,2.287,10,-7
9,1,1.0,2.08,16,-6
10,1,1.0,1.871,16,-5
11,1,0.0,2.08,10,-15
12,1,0.0,2.2880000000000003,16,-17
13,1,1.0,2.807,20,-9
14,1,1.0,2.08,24,-13
15,1,0.0,1.8719999999999999,18,-20
16,1,1.0,2.3930000000000002,22,-10
17,1,1.0,2.079,38,-14
18,1,1.0,1.4580000000000002,38,-9
19,1,1.0,1.766,28,-5
20,1,1.0,2.495,32,-20
21,1,1.0,2.806,32,-13
22,1,1.0,3.2230000000000003,14,-9
23,1,1.0,1.454,32,-5
24,1,1.0,2.803,20,-7
25,1,1.0,2.287,36,-8
26,1,1.0,2.806,30,-8
27,1,1.0,2.597,28,-8
28,1,1.0,2.392,24,-17
29,1,1.0,1.9780000000000002,26,-16
30,1,1.0,1.349,38,-6
31,1,1.0,2.9139999999999997,30,-14
32,1,1.0,1.456,36,-7
33,1,0.0,2.185,14,-14
34,1,1.0,3.116,26,-9
35,1,1.0,3.1189999999999998,40,-18
36,1,1.0,2.077,24,-14
37,1,1.0,1.56,36,-10
38,1,0.0,1.976,16,-16
39,1,0.0,2.7,20,-20
40,1,1.0,1.974,28,-17
41,1,1.0,1.766,12,-9
42,1,1.0,1.56,32,-14
43,1,1.0,1.247,36,-12
44,1,1.0,2.184,38,-15
45,1,1.0,1.9769999999999999,32,-12
46,1,1.0,1.766,28,-20
48,1,1.0,1.6640000000000001,12,-10
49,1,1.0,1.143,40,-12
50,1,1.0,1.3530000000000002,34,-19
51,1,1.0,1.452,22,-11
52,1,1.0,0.937,24,-9
53,1,1.0,1.56,16,-13
54,1,1.0,1.351,22,-19
55,1,1.0,1.663,22,-8
56,1,0.0,1.765,10,-20
57,1,1.0,1.8730000000000002,20,-5
58,1,1.0,1.141,30,-10
59,1,1.0,1.764,18,-14
60,1,1.0,1.666,34,-8
61,1,1.0,1.249,30,-17
62,1,0.0,1.247,10,-18
63,1,1.0,1.663,38,-20
64,1,1.0,1.1440000000000001,40,-17
65,1,1.0,1.247,18,-10
66,1,1.0,1.56,34,-12
67,1,1.0,1.561,14,-10
68,1,1.0,1.77,30,-16
69,1,1.0,1.3519999999999999,36,-14
70,1,1.0,1.249,30,-11
71,1,1.0,1.3530000000000002,30,-20
72,1,1.0,1.767,20,-18
73,1,1.0,1.56,32,-11
74,1,1.0,1.247,26,-11
75,1,1.0,1.5590000000000002,22,-18
76,1,1.0,1.145,18,-11
77,1,1.0,1.247,36,-11
78,1,1.0,1.351,38,-13
79,1,1.0,1.561,12,-6
80,1,0.0,2.079,16,-20
81,1,0.0,2.0780000000000003,10,-16
82,1,1.0,1.1420000000000001,40,-10
83,1,0.0,1.871,12,-8
84,1,1.0,1.766,30,-18
85,1,1.0,1.765,34,-15
