,subj_idx,response,rt,gain,loss
1,1,1,1.793,18,-12
2,1,0,1.6369999999999998,10,-15
3,1,1,1.3159999999999998,34,-16
4,1,1,1.67,18,-5
5,1,1,1.232,26,-13
6,1,1,1.5019999999999998,32,-17
7,1,1,1.925,16,-5
8,1,1,1.061,22,-7
9,1,1,1.079,36,-8
10,1,1,1.477,16,-10
11,1,1,1.599,30,-13
12,1,0,1.822,14,-17
13,1,1,1.405,28,-19
14,1,0,1.206,14,-20
15,1,1,1.272,26,-16
16,1,1,0.9,40,-5
17,1,1,1.318,28,-12
18,1,1,1.367,20,-16
19,1,1,1.5659999999999998,26,-5
20,1,1,1.36,32,-20
21,1,0,1.321,18,-17
22,1,1,1.433,20,-6
23,1,0,1.215,20,-18
24,1,1,0.8240000000000001,40,-7
25,1,1,0.903,36,-6
26,1,0,1.047,16,-20
27,1,1,1.169,40,-15
28,1,0,1.137,10,-6
29,1,0,1.082,12,-15
30,1,1,1.096,34,-17
31,1,1,2.2,18,-14
32,1,1,0.7759999999999999,40,-13
33,1,1,1.336,32,-19
34,1,0,1.585,14,-12
35,1,1,1.362,32,-10
36,1,1,1.786,36,-17
37,1,1,1.107,28,-13
38,1,1,1.243,34,-13
39,1,1,1.112,38,-14
40,1,1,1.235,32,-11
41,1,1,0.866,32,-9
42,1,1,1.6269999999999998,30,-16
43,1,1,1.0,34,-10
44,1,1,1.526,18,-8
45,1,1,1.251,34,-20
46,1,1,2.28,32,-16
47,1,1,1.242,24,-12
48,1,1,1.011,38,-12
49,1,1,1.043,38,-10
50,1,1,1.172,24,-7
51,1,1,1.115,16,-13
52,1,1,1.75,36,-19
53,1,1,0.918,32,-5
54,1,1,0.7340000000000001,34,-9
55,1,1,1.067,28,-7
56,1,1,1.6,24,-13
57,1,1,0.805,38,-5
58,1,1,1.39,22,-9
59,1,0,1.806,10,-11
60,1,0,1.6,12,-14
61,1,1,1.237,34,-19
62,1,1,0.957,38,-7
63,1,1,0.877,30,-6
64,1,1,1.454,26,-18
65,1,1,1.904,14,-6
66,1,1,1.486,16,-12
67,1,0,1.598,22,-20
68,1,0,1.368,12,-17
69,1,1,1.32,10,-7
70,1,0,2.302,18,-20
71,1,1,1.433,12,-6
72,1,1,0.999,32,-6
73,1,1,1.071,18,-7
74,1,1,0.7829999999999999,40,-10
75,1,0,1.6869999999999998,14,-14
76,1,1,1.167,30,-19
77,1,1,1.145,24,-18
78,1,0,1.383,10,-12
79,1,1,0.862,40,-19
80,1,1,0.8340000000000001,24,-9
81,1,0,1.785,16,-18
82,1,1,1.28,36,-12
83,1,1,1.394,26,-9
84,1,1,1.249,20,-12
85,1,1,1.266,24,-14
0,1,1,1.29,20,-5
1,1,1,1.163,22,-17
2,1,0,1.265,10,-16
3,1,1,1.4880000000000002,38,-18
4,1,1,1.446,20,-14
5,1,0,0.998,14,-13
6,1,1,0.7809999999999999,40,-8
7,1,1,1.189,32,-18
8,1,1,1.189,24,-8
9,1,1,1.102,36,-14
10,1,1,0.863,28,-6
11,1,1,1.981,16,-14
12,1,1,1.031,14,-9
13,1,1,1.229,20,-13
14,1,1,2.101,30,-18
15,1,0,1.536,14,-15
16,1,0,1.727,12,-12
17,1,1,1.255,24,-11
18,1,1,1.702,12,-10
19,1,1,1.161,16,-6
20,1,1,1.463,38,-20
21,1,1,1.744,28,-10
22,1,1,1.439,20,-7
23,1,1,0.8059999999999999,38,-9
24,1,1,1.041,26,-12
25,1,0,1.121,10,-14
26,1,0,1.621,12,-13
27,1,1,1.138,24,-15
28,1,1,1.974,32,-15
29,1,1,2.408,36,-15
30,1,1,1.898,36,-18
31,1,0,1.222,12,-18
32,1,1,1.403,20,-9
33,1,1,1.328,16,-8
34,1,0,1.25,12,-20
35,1,1,1.915,22,-19
36,1,1,0.8340000000000001,36,-9
37,1,1,1.169,26,-6
38,1,1,0.826,30,-5
39,1,1,0.835,36,-7
40,1,1,1.369,18,-10
41,1,1,0.745,30,-9
42,1,1,1.019,30,-12
43,1,1,0.932,14,-8
44,1,1,0.887,20,-19
45,1,1,0.986,28,-14
46,1,0,2.204,16,-17
47,1,1,1.084,26,-8
48,1,0,1.088,10,-17
49,1,1,0.917,12,-5
50,1,1,1.221,40,-6
51,1,1,1.496,36,-13
52,1,1,2.91,10,-9
53,1,1,1.196,34,-18
54,1,1,1.134,30,-15
55,1,1,1.229,18,-9
56,1,1,1.39,26,-20
57,1,1,1.101,36,-20
58,1,1,1.332,22,-15
59,1,1,0.878,38,-8
60,1,1,0.926,28,-16
61,1,1,1.775,34,-12
62,1,1,1.183,28,-15
63,1,1,0.782,24,-17
64,1,1,0.7979999999999999,28,-11
65,1,1,0.982,16,-9
66,1,1,1.008,22,-13
67,1,1,1.088,40,-11
68,1,1,2.935,28,-8
69,1,1,1.744,36,-16
70,1,1,1.214,20,-10
71,1,0,1.023,10,-18
72,1,1,0.6970000000000001,40,-9
73,1,1,1.3030000000000002,32,-7
74,1,1,0.777,40,-16
75,1,1,1.239,30,-17
76,1,1,1.073,24,-5
77,1,1,1.063,16,-7
78,1,1,1.592,22,-18
79,1,1,1.128,26,-19
80,1,1,1.258,24,-20
81,1,1,1.794,34,-6
82,1,1,0.914,24,-16
83,1,1,1.849,22,-6
84,1,1,1.122,12,-7
0,1,1,1.203,28,-17
1,1,1,1.123,14,-7
2,1,1,0.969,28,-18
3,1,1,1.102,16,-11
4,1,1,0.969,40,-20
5,1,1,1.261,18,-16
6,1,1,1.35,38,-11
7,1,1,2.157,36,-10
8,1,1,1.6780000000000002,40,-18
9,1,1,1.581,10,-10
10,1,1,1.133,24,-6
11,1,1,2.2230000000000003,20,-8
12,1,1,1.046,40,-12
13,1,1,1.5519999999999998,22,-10
14,1,1,1.279,18,-6
15,1,1,2.4530000000000003,38,-16
16,1,1,1.328,30,-20
17,1,1,1.008,22,-14
18,1,1,2.222,18,-18
19,1,0,1.767,16,-19
20,1,1,1.024,24,-10
