subj_idx,response,rt,gain,loss
1,1,8.310281,70,-60
1,1,0.798285,60,-30
1,0,1.017669,30,-100
1,0,1.332322,30,-60
1,0,1.946687,10,-20
1,0,0.704754,10,-70
1,0,0.912957,60,-90
1,0,1.032975,70,-70
1,0,4.363215,10,-30
1,0,0.752973,80,-80
1,0,0.710264,20,-90
1,1,1.013359,60,-20
1,0,1.152907,40,-30
1,1,1.806904,50,-20
1,0,0.682799,80,-20
1,0,3.763299,60,-80
1,1,1.384651,30,-10
1,1,2.996601,60,-10
1,1,0.913375,80,-90
1,1,5.136727,70,-20
1,0,1.158948,20,-60
1,1,3.771825,90,-80
1,1,1.96896,100,-20
1,0,3.669173,80,-90
1,1,1.56619,70,-10
1,1,2.475977,100,-90
1,1,1.293987,60,-50
1,0,0.918774,40,-100
1,1,5.077738,100,-70
1,0,1.118892,60,-60
1,0,2.934614,50,-60
1,1,1.549398,80,-50
1,0,0.810903,100,-100
1,0,7.093845,20,-70
1,1,0.909977,70,-40
1,1,1.013636,90,-20
1,1,0.872628,90,-30
1,0,0.961524,40,-50
1,0,0.943258,10,-50
1,1,3.509245,20,-10
1,1,1.029419,80,-50
1,1,1.312077,90,-10
1,0,2.135235,30,-60
1,0,2.101421,50,-100
1,0,1.500663,20,-70
1,0,0.996597,10,-60
1,1,0.808198,100,-60
1,0,2.163419,20,-80
1,1,0.897473,50,-30
1,1,0.993353,40,-30
1,0,0.976021,30,-50
1,1,1.180764,50,-10
1,0,0.913528,50,-80
1,0,1.008519,10,-60
1,0,0.764185,10,-40
1,0,1.03354,60,-40
1,0,2.243125,10,-50
1,1,0.989371,100,-30
1,0,0.985408,20,-50
1,1,1.157127,100,-20
1,0,0.890486,20,-30
1,1,1.507368,50,-40
1,0,0.778035,50,-100
1,1,1.246798,100,-50
1,1,1.201247,90,-60
1,1,6.596247,100,-80
1,1,2.94382,60,-20
1,0,0.798464,20,-30
1,0,0.890744,10,-80
1,0,4.747293,40,-80
1,0,4.089244,70,-100
1,1,1.313939,70,-50
1,1,2.425088,100,-80
1,0,0.636732,30,-80
1,0,0.950544,60,-80
1,0,1.108062,60,-90
1,0,1.011305,50,-90
1,0,0.863152,30,-70
1,0,0.632674,60,-50
1,1,0.787827,90,-40
1,0,0.847732,40,-40
1,0,1.914514,60,-70
1,0,0.730675,30,-80
1,1,0.873745,50,-30
1,1,0.78656,80,-30
1,1,0.886631,70,-50
1,1,1.030713,40,-20
1,1,0.64919,50,-10
1,0,0.715392,10,-30
1,0,1.282403,90,-90
1,1,2.435184,100,-10
1,0,0.893135,90,-90
1,1,3.021653,100,-40
1,1,0.977302,80,-20
1,0,1.04593,30,-50
1,0,1.287989,100,-100
1,0,3.271669,40,-80
1,0,3.368432,20,-50
1,1,1.301045,60,-30
1,0,0.860584,10,-100
1,1,5.248691,40,-20
1,0,1.050509,60,-60
1,0,1.404365,40,-90
1,0,0.823737,30,-90
1,0,0.922521,50,-50
1,1,0.841166,100,-60
1,1,1.178933,80,-60
1,0,1.919826,10,-40
1,1,0.895186,20,-10
1,0,1.271303,10,-90
1,0,1.511908,60,-100
1,0,0.83102,30,-40
1,1,2.538403,50,-20
1,0,1.04838,70,-80
1,0,4.681986,100,-90
1,1,2.499043,70,-30
1,0,1.706346,10,-100
1,0,1.057679,10,-80
1,0,2.811467,40,-60
1,1,1.375107,80,-60
1,1,0.932246,100,-40
1,0,1.130278,10,-10
1,1,5.95279,80,-10
1,1,1.470997,40,-10
1,0,1.351575,50,-80
1,0,6.213251,20,-40
1,0,0.976989,20,-90
1,1,1.197667,90,-50
1,0,3.033379,50,-90
1,0,1.275496,90,-100
1,0,2.844093,70,-80
1,1,2.486886,80,-40
1,0,2.607615,10,-20
1,0,0.755625,20,-80
1,1,1.40104,10,-10
1,1,2.868748,70,-10
1,0,0.830393,10,-70
1,0,1.066308,20,-40
1,1,1.020332,90,-30
1,1,0.887616,100,-50
1,0,2.521065,30,-90
1,1,1.209045,90,-40
1,0,2.444853,40,-40
1,0,1.079584,70,-70
1,1,6.953345,50,-50
1,1,0.951011,90,-10
1,0,0.900407,90,-100
1,1,0.796174,80,-10
1,0,0.608398,10,-90
1,0,0.635761,40,-70
1,0,3.367406,70,-90
1,1,1.172112,90,-20
1,0,0.713619,20,-100
1,0,3.192316,70,-90
1,0,1.42876,80,-80
1,1,1.056276,90,-70
1,0,0.977627,50,-70
1,0,0.550037,30,-10
1,1,1.259557,90,-60
1,1,8.549113,80,-40
1,0,0.756262,50,-70
1,1,1.905462,70,-60
1,1,1.480777,90,-50
1,0,1.184925,60,-100
1,0,1.0453,40,-90
1,1,0.832222,100,-30
1,1,3.658628,70,-20
1,1,2.060623,80,-30
1,0,1.621987,70,-100
1,1,1.136604,100,-70
1,0,0.999535,30,-40
1,1,2.370729,100,-10
1,0,0.871328,80,-100
1,0,1.431943,80,-70
1,0,1.698586,40,-100
1,1,1.058749,70,-40
1,0,0.628081,30,-100
1,1,1.415295,20,-20
1,1,1.154919,40,-10
1,1,1.384808,30,-30
1,1,0.93266,30,-20
1,1,1.692184,90,-80
1,1,1.428228,20,-20
