,knode_name,stochastic,observed,subj,node,tag,depends,hidden,subj_idx,response,rt,gain,loss,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,a,True,False,False,a,(),[],False,,,,,,2.363750362913838,0.06582699936197074,2.235265161856736,2.320969476949978,2.3615838479507123,2.406518659725011,2.4966095846875813,0.0012862148263071828
a_std,a_std,True,False,False,a_std,(),[],False,,,,,,0.4298518049179519,0.05227992878747427,0.34283398072479043,0.39294125662618007,0.425349638478394,0.45997241808907074,0.5498037605306877,0.0012342547779643732
a_rate,a_rate,False,False,False,a_rate,(),[],True,,,,,,,,,,,,,
a_shape,a_shape,False,False,False,a_shape,(),[],True,,,,,,,,,,,,,
a_subj.1,a_subj,True,False,True,a_subj.1,(),['subj_idx'],False,1,,,,,2.6061476824147687,0.10008658200724559,2.4226486969594228,2.535724676435419,2.6057666800910226,2.672147876472569,2.8103323104154474,0.0029825007609327837
a_subj.2,a_subj,True,False,True,a_subj.2,(),['subj_idx'],False,2,,,,,2.0369722410631197,0.08644183702676682,1.8715123585639892,1.978641535102985,2.035803577679934,2.0949258950322784,2.2109547477771905,0.0023793382518328262
a_subj.3,a_subj,True,False,True,a_subj.3,(),['subj_idx'],False,3,,,,,2.9745379022465084,0.12018087311024554,2.7434544318661094,2.8914326924674407,2.973793264800643,3.0541345937806206,3.2176033884538784,0.003178744000947877
a_subj.4,a_subj,True,False,True,a_subj.4,(),['subj_idx'],False,4,,,,,2.2290353972169705,0.10068496331143549,2.04388166935904,2.1596398205327163,2.2263120664292266,2.294531722483807,2.436811366961135,0.0030425099857182823
a_subj.5,a_subj,True,False,True,a_subj.5,(),['subj_idx'],False,5,,,,,2.419873899579626,0.2756029114179046,1.9473482774680724,2.224129714248976,2.397520527847874,2.5932529825184774,3.020982175512135,0.009237408604368239
a_subj.6,a_subj,True,False,True,a_subj.6,(),['subj_idx'],False,6,,,,,2.402738296054833,0.1890465860640554,2.062423457553848,2.2694269654372166,2.394455457599447,2.524166170164994,2.8007557608744946,0.0074116302972123335
a_subj.7,a_subj,True,False,True,a_subj.7,(),['subj_idx'],False,7,,,,,2.2637522137968467,0.13156034110692644,2.016862104554897,2.171351776204591,2.258501854173483,2.350272449645474,2.5395034030335664,0.004083357731630772
a_subj.8,a_subj,True,False,True,a_subj.8,(),['subj_idx'],False,8,,,,,2.3752118538148013,0.08962634349744222,2.2104459158330174,2.3140383724837186,2.3733027876548323,2.433065020358373,2.562428489538774,0.002641818989594705
a_subj.9,a_subj,True,False,True,a_subj.9,(),['subj_idx'],False,9,,,,,3.0348048474238203,0.12993522210797936,2.786869419999964,2.947547789713843,3.030711623684928,3.1188116636014067,3.3019262949272488,0.0031039987378427805
a_subj.10,a_subj,True,False,True,a_subj.10,(),['subj_idx'],False,10,,,,,3.6175079023804204,0.14810259552183175,3.339099754800183,3.5159918942265658,3.6117555322452866,3.7120760321667383,3.9307471275309434,0.0038776620378243665
a_subj.11,a_subj,True,False,True,a_subj.11,(),['subj_idx'],False,11,,,,,2.1617107539162297,0.09509074198794412,1.987829236058366,2.0948272632364584,2.1576082723865073,2.2234550064069,2.365871154285795,0.002567748914993725
a_subj.12,a_subj,True,False,True,a_subj.12,(),['subj_idx'],False,12,,,,,2.522902357026516,0.0983988603769204,2.342318278338497,2.456177168316815,2.52029001571652,2.58615361728981,2.724682215821349,0.0026754176373929056
a_subj.13,a_subj,True,False,True,a_subj.13,(),['subj_idx'],False,13,,,,,1.9558159265143482,0.08317492954992935,1.801168811214381,1.8970556397827476,1.9532568599199243,2.0113251238314667,2.12709774888351,0.0024972748946973456
a_subj.14,a_subj,True,False,True,a_subj.14,(),['subj_idx'],False,14,,,,,2.2344716054728933,0.09090157123834468,2.058546824707091,2.173652983028228,2.2304546718398646,2.2915757663127807,2.42235095592037,0.0022628447594861723
a_subj.15,a_subj,True,False,True,a_subj.15,(),['subj_idx'],False,15,,,,,2.4084082311395485,0.09918833846845122,2.2252505712028983,2.338896359097973,2.4037339111498226,2.4760688397639257,2.6089251669877465,0.0027929881137795792
a_subj.16,a_subj,True,False,True,a_subj.16,(),['subj_idx'],False,16,,,,,2.3665708284561116,0.09325174025889241,2.194874178809798,2.3025165852432212,2.3642266456640146,2.4272933992314236,2.5574856957150054,0.0025072419903846843
a_subj.17,a_subj,True,False,True,a_subj.17,(),['subj_idx'],False,17,,,,,1.971661858574521,0.16315534258403577,1.689435999278208,1.8579863304650959,1.958952865284513,2.072710562547076,2.3306536872845047,0.00583240498362764
a_subj.18,a_subj,True,False,True,a_subj.18,(),['subj_idx'],False,18,,,,,2.382892274861618,0.1054630602307276,2.185833461819203,2.3073037465842954,2.3795117441865417,2.452933356456902,2.59846421475383,0.003099747469674202
a_subj.19,a_subj,True,False,True,a_subj.19,(),['subj_idx'],False,19,,,,,2.4637663736440403,0.08095400163172208,2.3112056486849526,2.409832566956555,2.462244453639123,2.517951293847009,2.626957893707332,0.0017426903723446675
a_subj.20,a_subj,True,False,True,a_subj.20,(),['subj_idx'],False,20,,,,,2.5534767976298944,0.3160988628491839,1.9982023930987651,2.3363939306214303,2.5234581781511363,2.7438956928323437,3.256864352240681,0.007956374617544535
a_subj.21,a_subj,True,False,True,a_subj.21,(),['subj_idx'],False,21,,,,,1.7634065309505567,0.07166817220137213,1.631057283871803,1.7137015181864137,1.759966116334814,1.8121357845842647,1.9114546179256808,0.0017638328626682661
a_subj.22,a_subj,True,False,True,a_subj.22,(),['subj_idx'],False,22,,,,,2.0708077446083357,0.11617890074008563,1.8576209480685117,1.9925702151267506,2.0658290053417216,2.143277658243015,2.3166423237760836,0.0034588382104820217
a_subj.23,a_subj,True,False,True,a_subj.23,(),['subj_idx'],False,23,,,,,1.8400324449757446,0.08135001989388081,1.6825413728349414,1.7852366520184597,1.8380955282884488,1.8945317640947819,2.003697074494232,0.0018400292873827467
a_subj.24,a_subj,True,False,True,a_subj.24,(),['subj_idx'],False,24,,,,,1.9439129086877964,0.30728130998456843,1.4239352851188918,1.7240435669206038,1.9190893494985315,2.136395537384377,2.6086785798405057,0.009489352599375063
a_subj.25,a_subj,True,False,True,a_subj.25,(),['subj_idx'],False,25,,,,,1.7414230691980996,0.06831381750855342,1.6145244914854588,1.6940594524701198,1.7404015840403058,1.78486616765128,1.8817735648236549,0.0016237877661035263
a_subj.26,a_subj,True,False,True,a_subj.26,(),['subj_idx'],False,26,,,,,2.3810756092721697,0.08927174046337633,2.2184130094788364,2.318236502294617,2.3768393886829764,2.4398327916240037,2.5613736925577557,0.0023713607669318694
a_subj.27,a_subj,True,False,True,a_subj.27,(),['subj_idx'],False,27,,,,,3.2461272740046474,0.14259698426463543,2.9785677743401844,3.1484524760388193,3.2413587642043504,3.3409878582858896,3.534458278393374,0.004069747904601744
a_subj.28,a_subj,True,False,True,a_subj.28,(),['subj_idx'],False,28,,,,,2.4749381300850164,0.09855258229961099,2.2954942374404244,2.4076035623005088,2.471857406315591,2.5384415697510723,2.6814663278403206,0.002852492601636804
a_subj.29,a_subj,True,False,True,a_subj.29,(),['subj_idx'],False,29,,,,,3.1222520875223623,0.20270460490264933,2.7619635520257733,2.9799154373780334,3.1127644885041823,3.2574297349981904,3.5497232223338324,0.006094731172322549
a_subj.30,a_subj,True,False,True,a_subj.30,(),['subj_idx'],False,30,,,,,2.3961048389325135,0.10997503209323045,2.194731182056632,2.3199089005349225,2.3945086144252654,2.466503186283842,2.624483987377627,0.0030071331477508267
a_subj.31,a_subj,True,False,True,a_subj.31,(),['subj_idx'],False,31,,,,,1.944462081338927,0.08259929354957012,1.7892627044798333,1.886353710793995,1.9428656248429275,1.998345381429469,2.112288504630782,0.0020216946857289707
a_subj.32,a_subj,True,False,True,a_subj.32,(),['subj_idx'],False,32,,,,,1.9425722882842698,0.09110024778741235,1.7710483111564206,1.8812878573338534,1.9396475939879914,2.0016622364470726,2.1345797721657527,0.0026874276498041845
a_subj.33,a_subj,True,False,True,a_subj.33,(),['subj_idx'],False,33,,,,,2.608492284970397,0.14669561764858635,2.332415853755188,2.509124420228617,2.6032788572718326,2.701633286374289,2.9238823890419483,0.004894252433324972
a_subj.34,a_subj,True,False,True,a_subj.34,(),['subj_idx'],False,34,,,,,2.5792120479828125,0.10471891566378969,2.382483135338732,2.5067419666607607,2.5762719535196013,2.6489927765419425,2.791102700117129,0.0027806934845991038
a_subj.35,a_subj,True,False,True,a_subj.35,(),['subj_idx'],False,35,,,,,1.8372578750564457,0.07371691001329363,1.6972802184942943,1.7869239190866264,1.834799867899751,1.8852594017815023,1.990753790288399,0.001977204287531708
a_subj.36,a_subj,True,False,True,a_subj.36,(),['subj_idx'],False,36,,,,,1.9368276137909843,0.1185091618844684,1.7290588878219286,1.8532042248886267,1.9300627843400915,2.0151675420355972,2.1842413541172716,0.003380919226352705
a_subj.37,a_subj,True,False,True,a_subj.37,(),['subj_idx'],False,37,,,,,2.2550975470656605,0.08426986074700031,2.0935087069151948,2.1973034991333247,2.2535676367806734,2.3120382425091854,2.422599982180955,0.002171590392452256
a_subj.38,a_subj,True,False,True,a_subj.38,(),['subj_idx'],False,38,,,,,2.297535220606478,0.096676674023224,2.117064158251482,2.229691200014994,2.295218606895271,2.3612869156226486,2.498492309621031,0.002570289217408342
a_subj.39,a_subj,True,False,True,a_subj.39,(),['subj_idx'],False,39,,,,,1.6051552333068513,0.061190159056846945,1.4897371244803967,1.5622750531762954,1.6037521800028245,1.6442228039199651,1.7292134803447285,0.0013561493315017042
a_subj.40,a_subj,True,False,True,a_subj.40,(),['subj_idx'],False,40,,,,,2.470700888080596,0.09985275832202284,2.284617006664171,2.4019164784641567,2.4659064974684513,2.5348599659385656,2.6806208578230635,0.0030757980774740986
a_subj.41,a_subj,True,False,True,a_subj.41,(),['subj_idx'],False,41,,,,,2.2211977898166286,0.09633201021193911,2.0420847899358523,2.155338300776145,2.2174235668393973,2.2831130044151178,2.4215228976799272,0.0025127726918087916
a_subj.42,a_subj,True,False,True,a_subj.42,(),['subj_idx'],False,42,,,,,2.5943759318996165,0.11608064477930871,2.3741913344823424,2.5141136794022665,2.591924344281935,2.6729842137708113,2.8239151425529343,0.0030478711550514666
a_subj.43,a_subj,True,False,True,a_subj.43,(),['subj_idx'],False,43,,,,,2.3845444004787755,0.08833640066895386,2.218930586807638,2.3243034306738886,2.381795671151411,2.4436928406039273,2.560566526083588,0.0021818834722409255
a_subj.44,a_subj,True,False,True,a_subj.44,(),['subj_idx'],False,44,,,,,2.173480395783867,0.09513641241038302,1.9977051166483784,2.108990524440866,2.1688697108165433,2.2346950656339586,2.372214217229605,0.0027873116949810985
a_subj.45,a_subj,True,False,True,a_subj.45,(),['subj_idx'],False,45,,,,,2.5232720826262565,0.10243199207341738,2.32978014322968,2.4538801563061834,2.520812047615402,2.591274681207975,2.7265553401265774,0.0020920000304445303
a_subj.46,a_subj,True,False,True,a_subj.46,(),['subj_idx'],False,46,,,,,3.091711996073922,0.21779406812548507,2.704570150442813,2.9438461450023876,3.082355471134649,3.2334398563016356,3.5547601421476616,0.007755308569664336
a_subj.47,a_subj,True,False,True,a_subj.47,(),['subj_idx'],False,47,,,,,2.4825047028397376,0.10754554819001752,2.2794317253610137,2.4101925134748394,2.480093908221229,2.551712695000072,2.703185405907802,0.0031656119811593214
a_subj.48,a_subj,True,False,True,a_subj.48,(),['subj_idx'],False,48,,,,,2.421307570592591,0.136087040412343,2.160474456476928,2.326562100663004,2.4211202064067154,2.514364733113956,2.7002183536929674,0.004096073454867637
a_subj.49,a_subj,True,False,True,a_subj.49,(),['subj_idx'],False,49,,,,,2.4530028944642828,0.09240134685053324,2.279767361389898,2.389358980123019,2.4514541918816386,2.514204502193552,2.638489919280405,0.0021364805060324014
t,t,True,False,False,t,(),[],False,,,,,,0.42356502485098096,0.016286149458382,0.391900722572406,0.41267682726302995,0.4230872572311415,0.43412783390989484,0.4572257008484375,0.0003208686331494096
