                            mean         std         2.5q          25q          50q          75q       97.5q       mc err
a                        2.36375    0.065827      2.23527      2.32097      2.36158      2.40652     2.49661   0.00128621
a_std                   0.429852   0.0522799     0.342834     0.392941      0.42535     0.459972    0.549804   0.00123425
a_subj.1                 2.60615    0.100087      2.42265      2.53572      2.60577      2.67215     2.81033    0.0029825
a_subj.2                 2.03697   0.0864418      1.87151      1.97864       2.0358      2.09493     2.21095   0.00237934
a_subj.3                 2.97454    0.120181      2.74345      2.89143      2.97379      3.05413      3.2176   0.00317874
a_subj.4                 2.22904    0.100685      2.04388      2.15964      2.22631      2.29453     2.43681   0.00304251
a_subj.5                 2.41987    0.275603      1.94735      2.22413      2.39752      2.59325     3.02098   0.00923741
a_subj.6                 2.40274    0.189047      2.06242      2.26943      2.39446      2.52417     2.80076   0.00741163
a_subj.7                 2.26375     0.13156      2.01686      2.17135       2.2585      2.35027      2.5395   0.00408336
a_subj.8                 2.37521   0.0896263      2.21045      2.31404       2.3733      2.43307     2.56243   0.00264182
a_subj.9                  3.0348    0.129935      2.78687      2.94755      3.03071      3.11881     3.30193     0.003104
a_subj.10                3.61751    0.148103       3.3391      3.51599      3.61176      3.71208     3.93075   0.00387766
a_subj.11                2.16171   0.0950907      1.98783      2.09483      2.15761      2.22346     2.36587   0.00256775
a_subj.12                 2.5229   0.0983989      2.34232      2.45618      2.52029      2.58615     2.72468   0.00267542
a_subj.13                1.95582   0.0831749      1.80117      1.89706      1.95326      2.01133      2.1271   0.00249727
a_subj.14                2.23447   0.0909016      2.05855      2.17365      2.23045      2.29158     2.42235   0.00226284
a_subj.15                2.40841   0.0991883      2.22525       2.3389      2.40373      2.47607     2.60893   0.00279299
a_subj.16                2.36657   0.0932517      2.19487      2.30252      2.36423      2.42729     2.55749   0.00250724
a_subj.17                1.97166    0.163155      1.68944      1.85799      1.95895      2.07271     2.33065    0.0058324
a_subj.18                2.38289    0.105463      2.18583       2.3073      2.37951      2.45293     2.59846   0.00309975
a_subj.19                2.46377    0.080954      2.31121      2.40983      2.46224      2.51795     2.62696   0.00174269
a_subj.20                2.55348    0.316099       1.9982      2.33639      2.52346       2.7439     3.25686   0.00795637
a_subj.21                1.76341   0.0716682      1.63106       1.7137      1.75997      1.81214     1.91145   0.00176383
a_subj.22                2.07081    0.116179      1.85762      1.99257      2.06583      2.14328     2.31664   0.00345884
a_subj.23                1.84003     0.08135      1.68254      1.78524       1.8381      1.89453      2.0037   0.00184003
a_subj.24                1.94391    0.307281      1.42394      1.72404      1.91909       2.1364     2.60868   0.00948935
a_subj.25                1.74142   0.0683138      1.61452      1.69406       1.7404      1.78487     1.88177   0.00162379
