,knode_name,stochastic,observed,subj,node,tag,depends,hidden,subj_idx,response,rt,gain,loss,mean,std,2.5q,25q,50q,75q,97.5q,mc err,map
a,a,True,False,False,a,(),[],False,,,,,,2.355040504482584,0.06365439607954021,2.231484789011336,2.3112000155211727,2.35332221465386,2.3972360042942897,2.484655091790072,0.0012858485330435694,1.9621179908748871
a_std,a_std,True,False,False,a_std,(),[],False,,,,,,0.4275716871475011,0.05009649371042225,0.3391710235737898,0.39249903627661237,0.42428414584930424,0.45859174819435344,0.533969253530798,0.0010575378676742782,0.26997058290144227
a_rate,a_rate,False,False,False,a_rate,(),[],True,,,,,,,,,,,,,,26.921064677219224
a_shape,a_shape,False,False,False,a_shape,(),[],True,,,,,,,,,,,,,,52.82230533667827
a_subj.1,a_subj,True,False,True,a_subj.1,(),['subj_idx'],False,1,,,,,2.603580851240314,0.1005469257985442,2.413150923344979,2.5367906223032217,2.600072525268658,2.667959975196816,2.8172987585994975,0.002700513442960215,2.2377940034796615
a_subj.2,a_subj,True,False,True,a_subj.2,(),['subj_idx'],False,2,,,,,2.0334653593998593,0.0891447207117184,1.8691959948947279,1.971380543586224,2.0304954579000136,2.092977915810034,2.2190702614510265,0.0022760691757223238,1.822721425701424
a_subj.3,a_subj,True,False,True,a_subj.3,(),['subj_idx'],False,3,,,,,2.9401344617024288,0.11871930616696817,2.7149560944846085,2.8596164939207536,2.936737652775126,3.014645891327789,3.185057003788547,0.0030295572527881507,2.4176115277461427
a_subj.4,a_subj,True,False,True,a_subj.4,(),['subj_idx'],False,4,,,,,2.227431694899754,0.09824098160873125,2.0464733429386404,2.15854678762152,2.2224099324468054,2.292803816726468,2.4303128877131517,0.00275696076996835,1.9642705287557334
a_subj.5,a_subj,True,False,True,a_subj.5,(),['subj_idx'],False,5,,,,,2.434605204752949,0.2784276085124589,1.959159529190938,2.238500408580459,2.411991810998439,2.6102392348387924,3.044902260496074,0.008924997180396629,1.6368320227194164
a_subj.6,a_subj,True,False,True,a_subj.6,(),['subj_idx'],False,6,,,,,2.469563016433256,0.20272400644009195,2.1139879918363405,2.3239305596677324,2.4571130506161833,2.594290210453494,2.9182555339498446,0.00840792612062492,1.7139175044626354
a_subj.7,a_subj,True,False,True,a_subj.7,(),['subj_idx'],False,7,,,,,2.274186426488829,0.13500451352822926,2.0340829516978722,2.1775860944498406,2.26724932116665,2.3638859227093025,2.5534122543820756,0.004357073033217309,1.7237308548858752
a_subj.8,a_subj,True,False,True,a_subj.8,(),['subj_idx'],False,8,,,,,2.3726037999829477,0.08974855537920605,2.203565785482806,2.3114343373704127,2.3687709964667096,2.432597955019185,2.5555109137046887,0.002234101336861317,2.1040261887100637
a_subj.9,a_subj,True,False,True,a_subj.9,(),['subj_idx'],False,9,,,,,3.0262253249215156,0.12732257356241766,2.79370295942388,2.936629686772482,3.0221503615268093,3.11507409332649,3.2834707029055545,0.0032694510297562457,2.426881561390165
a_subj.10,a_subj,True,False,True,a_subj.10,(),['subj_idx'],False,10,,,,,3.5888019582559574,0.14205935164728295,3.3241433360467845,3.491221524434054,3.584970610864779,3.6796773252966477,3.8780099011499223,0.0033193342442139366,2.8133329280223722
a_subj.11,a_subj,True,False,True,a_subj.11,(),['subj_idx'],False,11,,,,,2.154485503009978,0.09616099353502869,1.9755129427196754,2.0869361310130765,2.1510371081641844,2.216119530919419,2.3547752757534495,0.0027898886927772795,1.9065446987563943
a_subj.12,a_subj,True,False,True,a_subj.12,(),['subj_idx'],False,12,,,,,2.5196277296005065,0.09783328755276917,2.335842261857583,2.450374777246075,2.5158178054520683,2.5844114470685624,2.7200459354323083,0.00262305689936817,2.160660830796815
a_subj.13,a_subj,True,False,True,a_subj.13,(),['subj_idx'],False,13,,,,,1.9493086706454505,0.08334133574102363,1.7923972594146687,1.8925494514974845,1.9448647022891792,2.00375752831698,2.1215926123637616,0.0023690567518673054,1.7972249031783831
a_subj.14,a_subj,True,False,True,a_subj.14,(),['subj_idx'],False,14,,,,,2.2352340425332176,0.08781955472536024,2.0681742074126315,2.176433847546897,2.23269628201842,2.2938430399016347,2.414933220316574,0.0020315087225353675,1.9640097134571928
a_subj.15,a_subj,True,False,True,a_subj.15,(),['subj_idx'],False,15,,,,,2.405461056012384,0.09940666356147732,2.2156842715049967,2.3351548216702733,2.402544947812177,2.470929426909108,2.608223055379679,0.002753531245206771,2.0814715779557633
a_subj.16,a_subj,True,False,True,a_subj.16,(),['subj_idx'],False,16,,,,,2.355007441580602,0.09215103141371717,2.179553124580453,2.290988835476711,2.3517937706639183,2.4171702557444896,2.545621934695714,0.0019380063922871875,2.059525290503773
a_subj.17,a_subj,True,False,True,a_subj.17,(),['subj_idx'],False,17,,,,,1.999476829344621,0.1708627073197344,1.7040333476710683,1.8791637626560267,1.9864828503366496,2.1030258681967293,2.374220319939956,0.006488298477730558,1.4908736671104212
a_subj.18,a_subj,True,False,True,a_subj.18,(),['subj_idx'],False,18,,,,,2.3578966565225628,0.10319850557487119,2.1708114327691246,2.2862135630791065,2.3519867097604825,2.423549415768364,2.578185816521282,0.003091597592358635,2.0381811176109172
a_subj.19,a_subj,True,False,True,a_subj.19,(),['subj_idx'],False,19,,,,,2.458924874462719,0.08258115809581641,2.300791408000469,2.4009086871621754,2.458315135191241,2.5143471325701054,2.620853401994062,0.0018635602132629184,2.212495747465726
a_subj.20,a_subj,True,False,True,a_subj.20,(),['subj_idx'],False,20,,,,,2.552183408676925,0.30620251304015017,2.0212023569322275,2.33607504390856,2.5293806657478193,2.7431729211845295,3.2158975681201785,0.0067107858674557526,1.674439402988923
a_subj.21,a_subj,True,False,True,a_subj.21,(),['subj_idx'],False,21,,,,,1.7378234139200386,0.0725466579576082,1.6059771524121216,1.6872572021860468,1.7355204376284497,1.785953428001342,1.8903073550813683,0.0017593452413361254,1.6462762330970118
a_subj.22,a_subj,True,False,True,a_subj.22,(),['subj_idx'],False,22,,,,,2.0197818686858215,0.10225904311442363,1.8275907412520684,1.9500712222773966,2.016958038145216,2.0866904175673686,2.2330927793927033,0.002753792350350508,1.703957188672304
