,knode_name,stochastic,observed,subj,node,tag,depends,hidden,subj_idx,response,rt,gain,loss,mean,std,2.5q,25q,50q,75q,97.5q,mc err,map
a,a,True,False,False,a,(),[],False,,,,,,2.3336511888187745,0.06392636363025245,2.212398604796199,2.2911201874834206,2.333106659965505,2.3733612367815455,2.4624582916897038,0.0014278821743701035,1.8938476858675926
a_std,a_std,True,False,False,a_std,(),[],False,,,,,,0.4205044604871432,0.051065120849578025,0.3340951479438493,0.38499347372299275,0.4151070763110365,0.45153077663427355,0.5306045069481081,0.0011139970078328585,0.3080316898087677
a_rate,a_rate,False,False,False,a_rate,(),[],True,,,,,,,,,,,,,,19.95971110068755
a_shape,a_shape,False,False,False,a_shape,(),[],True,,,,,,,,,,,,,,37.80065267862281
a_subj.1,a_subj,True,False,True,a_subj.1,(),['subj_idx'],False,1,,,,,2.5958099992859363,0.1015075931111256,2.4047285027111225,2.528210717597142,2.591588076762849,2.6623047311179278,2.8072126442527194,0.00256302618288577,2.228954446418631
a_subj.2,a_subj,True,False,True,a_subj.2,(),['subj_idx'],False,2,,,,,2.027225036061534,0.0858327209110815,1.8666106165993477,1.9675969934559565,2.023457937621398,2.082981551850368,2.2017611199208793,0.0021000384595860483,1.7906888702481705
a_subj.3,a_subj,True,False,True,a_subj.3,(),['subj_idx'],False,3,,,,,2.8666621158982095,0.11015462935611452,2.662568002392393,2.788466015202929,2.8622304651132957,2.941143669391408,3.094493527505491,0.0023563796947071156,2.320528873128978
a_subj.4,a_subj,True,False,True,a_subj.4,(),['subj_idx'],False,4,,,,,2.244137675004965,0.10041284925332743,2.060071726472784,2.1758582922943934,2.2396250567186415,2.306633548533681,2.4581485195057295,0.0029100759382709265,1.9884268340606495
a_subj.5,a_subj,True,False,True,a_subj.5,(),['subj_idx'],False,5,,,,,2.3874929371845153,0.2645662536257015,1.9201756142631705,2.205222328914494,2.371384488711713,2.557692870122707,2.9574729454947253,0.00881400870653042,1.374557081261708
a_subj.6,a_subj,True,False,True,a_subj.6,(),['subj_idx'],False,6,,,,,2.4191061086759436,0.18971853139757247,2.0904525664994558,2.2824179602530124,2.402666892471254,2.541325756523805,2.8307378654293003,0.0079324499076692,1.558222028553926
a_subj.7,a_subj,True,False,True,a_subj.7,(),['subj_idx'],False,7,,,,,2.2577561167251297,0.13650427123504136,2.0066207379461556,2.1671550089777813,2.2508181350095597,2.342869093590104,2.5466116802699554,0.004535283765572201,1.6220547334728164
