,knode_name,stochastic,observed,subj,node,tag,depends,hidden,subj_idx,response,rt,gain,loss,mean,std,2.5q,25q,50q,75q,97.5q,mc err,map
a,a,True,False,False,a,(),[],False,,,,,,2.269344767382368,0.06150310717878239,2.1508950848198722,2.2267988474650484,2.267752849335418,2.3110702711873907,2.390903165394745,0.0011204612071120438,1.932122171825674
a_std,a_std,True,False,False,a_std,(),[],False,,,,,,0.4212093328967355,0.049594069402975414,0.3375080421668476,0.3860550121679748,0.41716009660168674,0.4519674534614283,0.5306229432839691,0.001028045546084396,0.2827408816284791
a_rate,a_rate,False,False,False,a_rate,(),[],True,,,,,,,,,,,,,,24.168926919014034
a_shape,a_shape,False,False,False,a_shape,(),[],True,,,,,,,,,,,,,,46.69731956946139
a_subj.1,a_subj,True,False,True,a_subj.1,(),['subj_idx'],False,1,,,,,2.62184770692016,0.1050060250825869,2.419562296712365,2.5507332629796196,2.6194525531102624,2.6904032433405285,2.8339200525527564,0.0026575860303099984,2.220981196981639
a_subj.2,a_subj,True,False,True,a_subj.2,(),['subj_idx'],False,2,,,,,1.9809536127254461,0.08124018766021483,1.833842460924067,1.9235412450519447,1.9771657920248054,2.035665433459756,2.146317399913933,0.0019723995490231435,1.7887298676190715
a_subj.3,a_subj,True,False,True,a_subj.3,(),['subj_idx'],False,3,,,,,2.9579065783930307,0.12436491870442425,2.71867187463676,2.871579151386813,2.9547875094594245,3.04030134383452,3.2084567717108503,0.0035230947802121527,2.4169200601519205
a_subj.4,a_subj,True,False,True,a_subj.4,(),['subj_idx'],False,4,,,,,2.219565412767146,0.0971610056868353,2.0327050105338142,2.155165242876521,2.2171370249727365,2.2814101787419347,2.421518404756089,0.0031211920168657237,1.9581060794799718
a_subj.5,a_subj,True,False,True,a_subj.5,(),['subj_idx'],False,5,,,,,2.0687604451126953,0.1890171356658747,1.729607707143059,1.9367561235808926,2.059822266878496,2.191687931408786,2.476297596036858,0.006568471623214847,1.602556547218668
a_subj.6,a_subj,True,False,True,a_subj.6,(),['subj_idx'],False,6,,,,,2.0387152110888276,0.11859400454203317,1.827352848878373,1.9573242406681528,2.0333298704847316,2.113069052289423,2.283655104246299,0.004041856696415135,1.6131501223288731
a_subj.7,a_subj,True,False,True,a_subj.7,(),['subj_idx'],False,7,,,,,1.9105349774124443,0.09881265753751353,1.7245349901561027,1.8411101002349992,1.9081378034057046,1.976591905365872,2.1117000261492596,0.0035793820794088526,1.637696297019655
a_subj.8,a_subj,True,False,True,a_subj.8,(),['subj_idx'],False,8,,,,,2.390343313054856,0.09420726369565552,2.2170728128401893,2.325095225650758,2.386287820877462,2.452454564209619,2.585660501355534,0.0024324316982025796,2.092392639512676
a_subj.9,a_subj,True,False,True,a_subj.9,(),['subj_idx'],False,9,,,,,2.9460263269242946,0.12416732040351477,2.717166017231331,2.8588762689955747,2.943165929274635,3.027468769714149,3.201028590298626,0.003057578657307497,2.390123723717083
a_subj.10,a_subj,True,False,True,a_subj.10,(),['subj_idx'],False,10,,,,,3.566795506034141,0.1389185433992989,3.3114031756572233,3.4718494819969337,3.563474032610957,3.6560625997405416,3.854909380171179,0.003024745305191155,2.7987638153280106
a_subj.11,a_subj,True,False,True,a_subj.11,(),['subj_idx'],False,11,,,,,2.1503964384950236,0.09916049517413036,1.968893731449583,2.082831850535057,2.1453630676031086,2.2150717333973544,2.359647764583738,0.0026976943619068583,1.9012091510196385
a_subj.12,a_subj,True,False,True,a_subj.12,(),['subj_idx'],False,12,,,,,2.4819251310444197,0.09995641353187447,2.292389269896506,2.4145485011266414,2.4800045793553247,2.5468939929512957,2.686529864532199,0.002491673812569573,2.138351091247204
a_subj.13,a_subj,True,False,True,a_subj.13,(),['subj_idx'],False,13,,,,,1.959469999943015,0.08534469201400964,1.7997866598794783,1.8991987663740486,1.9559141879573085,2.0172342646352655,2.130066699953187,0.0026303888805933383,1.776741698674277
a_subj.14,a_subj,True,False,True,a_subj.14,(),['subj_idx'],False,14,,,,,2.214957867261099,0.09336311933307116,2.049836293486254,2.150061076390067,2.210007423784671,2.275512728310911,2.411524366182944,0.0026453624776929313,1.9156301648733018
a_subj.15,a_subj,True,False,True,a_subj.15,(),['subj_idx'],False,15,,,,,2.390509622810594,0.09854995160063645,2.2055199791254565,2.3236825947939184,2.3852727684654544,2.453652944130985,2.5961958833920393,0.0024031402124059446,2.0696498730418833
a_subj.16,a_subj,True,False,True,a_subj.16,(),['subj_idx'],False,16,,,,,2.3345852780966556,0.0956032779063059,2.1570606183538352,2.26932573347647,2.3305466885655495,2.397211740483333,2.5279334350590594,0.0024329542094840657,2.042621983401167
a_subj.17,a_subj,True,False,True,a_subj.17,(),['subj_idx'],False,17,,,,,1.685169131389687,0.10914462217047853,1.489164723009281,1.6075028256212316,1.6794230404921526,1.7586267765158592,1.9129590221229011,0.00431761551815611,1.3898219313124613
a_subj.18,a_subj,True,False,True,a_subj.18,(),['subj_idx'],False,18,,,,,2.376049614737387,0.105547004332751,2.184515906218747,2.3013658481562436,2.371099734090924,2.4424378850896344,2.5963027365916425,0.003226834442870709,2.0630447834582237
a_subj.19,a_subj,True,False,True,a_subj.19,(),['subj_idx'],False,19,,,,,2.499431783356856,0.0842808711913642,2.3433035485117264,2.4404978589254247,2.496882088683966,2.557417929879833,2.6728376583287377,0.0019096771807880642,2.2058466215563604
a_subj.20,a_subj,True,False,True,a_subj.20,(),['subj_idx'],False,20,,,,,2.3555599139678938,0.23864844939607024,1.9434606322061576,2.1878800032233414,2.3397951363231204,2.5106454949308397,2.8773642287267087,0.006846454770157044,1.6517701256518063
a_subj.21,a_subj,True,False,True,a_subj.21,(),['subj_idx'],False,21,,,,,1.7505941681134007,0.08091870421869925,1.6035249323012635,1.6955591259334044,1.7463450516812156,1.804110764222007,1.9186076961467917,0.0022676871492509137,1.6565195559212897
a_subj.22,a_subj,True,False,True,a_subj.22,(),['subj_idx'],False,22,,,,,1.8487750934102607,0.08835006978021834,1.6806266976247457,1.7868459634344953,1.8479469704908245,1.9066137188513832,2.02573044277142,0.0027842338454241973,1.685978401763767
a_subj.23,a_subj,True,False,True,a_subj.23,(),['subj_idx'],False,23,,,,,1.802192324704134,0.0814253776453209,1.6532927376456528,1.7457192265760728,1.7988102015216585,1.8543537443032712,1.9700741059600289,0.0022219786129728096,1.7071560121816214
a_subj.24,a_subj,True,False,True,a_subj.24,(),['subj_idx'],False,24,,,,,1.8363444941362117,0.26956981063628105,1.369252502659908,1.6424747108297453,1.813625888384594,2.007073527265688,2.41065407589326,0.00879259035617663,1.460334450089011
a_subj.25,a_subj,True,False,True,a_subj.25,(),['subj_idx'],False,25,,,,,1.7357702196266356,0.0700423191100171,1.606729985559129,1.6872252314906893,1.7336497382058613,1.7831777651365204,1.8771864131834917,0.0016942801285287606,1.651526630749471
a_subj.26,a_subj,True,False,True,a_subj.26,(),['subj_idx'],False,26,,,,,2.387667045820104,0.0920073207543349,2.2119063153821896,2.3249016554246165,2.3855857059245795,2.449804733615542,2.576355421984636,0.0023390174650206076,2.0702273865381495
a_subj.27,a_subj,True,False,True,a_subj.27,(),['subj_idx'],False,27,,,,,3.244599172653917,0.14240222895762275,2.9709676467510393,3.145835035789898,3.2412899741310897,3.342879866049505,3.5280151979149914,0.004652586689607425,2.5846518866912853
a_subj.28,a_subj,True,False,True,a_subj.28,(),['subj_idx'],False,28,,,,,2.502869172948647,0.10292323964170398,2.3124979507056183,2.4314760382050395,2.4997047733625157,2.5676447781503406,2.7131453510016295,0.0028481724866194595,2.1322537642023542
a_subj.29,a_subj,True,False,True,a_subj.29,(),['subj_idx'],False,29,,,,,2.5921688984707996,0.12713362768508604,2.3571251235106283,2.505406651832537,2.5897196154544675,2.6746215152803288,2.8541790649858605,0.003697844361503674,1.9904282928876704
a_subj.30,a_subj,True,False,True,a_subj.30,(),['subj_idx'],False,30,,,,,2.1950010804685416,0.0925346445420437,2.0228968997077947,2.1324652010397696,2.190225665964393,2.256744612628811,2.3857251236725765,0.0025812274907414546,1.9031650121653962
a_subj.31,a_subj,True,False,True,a_subj.31,(),['subj_idx'],False,31,,,,,1.8926317983751373,0.08078005650789144,1.7304420134156433,1.840125393671661,1.8914058109558132,1.9474155192484617,2.0531551255408025,0.0023072873555727404,1.6279798176336
a_subj.32,a_subj,True,False,True,a_subj.32,(),['subj_idx'],False,32,,,,,1.7726250844489864,0.08394687870903048,1.6199725859055003,1.7142615216838848,1.7707940369626156,1.8262367496868184,1.9482325424899911,0.0027963405074362987,1.6300858120366677
a_subj.33,a_subj,True,False,True,a_subj.33,(),['subj_idx'],False,33,,,,,2.3063720310573883,0.11220342820127843,2.096535914526742,2.230484269343444,2.3023318102629595,2.3794134663048743,2.5311878469452025,0.0033372409602438332,1.8771140665156332
a_subj.34,a_subj,True,False,True,a_subj.34,(),['subj_idx'],False,34,,,,,2.6051616336225565,0.11030890231739776,2.3977712568743623,2.5307358405015954,2.6018291888011627,2.6764647940923156,2.8312706032048203,0.0033725568714733957,2.2297532141642193
a_subj.35,a_subj,True,False,True,a_subj.35,(),['subj_idx'],False,35,,,,,1.8442895200107579,0.07286882645001223,1.7078756212546296,1.7944145837738454,1.8419796691818444,1.89140348417696,1.996160040930671,0.0017455607332963537,1.7187153378002178
a_subj.36,a_subj,True,False,True,a_subj.36,(),['subj_idx'],False,36,,,,,1.782609035838379,0.09465096917992341,1.6125358069198807,1.7190848241347396,1.7761780647145882,1.8417319249125466,1.98839689199017,0.0028233450779191396,1.5519900326282678
a_subj.37,a_subj,True,False,True,a_subj.37,(),['subj_idx'],False,37,,,,,2.2377228379047995,0.08294742965695864,2.0772872703112366,2.180659952192246,2.235747251177876,2.2926470274811965,2.4036610185347,0.002056708303413509,2.012477439898254
a_subj.38,a_subj,True,False,True,a_subj.38,(),['subj_idx'],False,38,,,,,2.3035709839939527,0.10060509699251625,2.1187922905207355,2.2349255120241285,2.298908620376703,2.3659181438278134,2.5055170550087364,0.0028372777771145086,1.9447229733854352
a_subj.39,a_subj,True,False,True,a_subj.39,(),['subj_idx'],False,39,,,,,1.602640437523197,0.05963083950138631,1.4922676226684604,1.5620196465893224,1.6013659290177722,1.6403496874525478,1.7245996269576223,0.0014825125864199999,1.5485699588535788
a_subj.40,a_subj,True,False,True,a_subj.40,(),['subj_idx'],False,40,,,,,2.5108457220664318,0.10532602748338633,2.3145676654306255,2.438777972228845,2.505206138061112,2.580006549523562,2.735370079758299,0.0029733467156440626,2.1116777781316567
a_subj.41,a_subj,True,False,True,a_subj.41,(),['subj_idx'],False,41,,,,,2.049506572317674,0.09060557727355285,1.886425725809692,1.9854846953698253,2.046259791393174,2.1080512344213487,2.2348436155275366,0.00283275871040493,1.82909002363092
a_subj.42,a_subj,True,False,True,a_subj.42,(),['subj_idx'],False,42,,,,,2.539037869319781,0.11148269085434338,2.3344115151366895,2.461635785250056,2.531553066632716,2.612829445502476,2.775387084758834,0.0031479280239741308,2.058599976480363
a_subj.43,a_subj,True,False,True,a_subj.43,(),['subj_idx'],False,43,,,,,2.3789250478707844,0.0909557828264974,2.2078789914452845,2.315271478452394,2.3755264060781816,2.438683130539731,2.564414248543934,0.0025871938371588607,2.1254303602522464
a_subj.44,a_subj,True,False,True,a_subj.44,(),['subj_idx'],False,44,,,,,2.1798955978442156,0.09850760375238914,1.9973211991043849,2.1134413994530585,2.1757142114224313,2.241903590365972,2.382007065191104,0.0026886237975198486,1.9223057993347221
a_subj.45,a_subj,True,False,True,a_subj.45,(),['subj_idx'],False,45,,,,,2.5388159792488887,0.10443255393166352,2.346845915234672,2.4661384841840635,2.536208496249488,2.6066736870954523,2.7484687804613,0.002372001187900067,2.17116253892653
a_subj.46,a_subj,True,False,True,a_subj.46,(),['subj_idx'],False,46,,,,,2.7573402863451446,0.14565132985589718,2.4928117439905115,2.654940088806461,2.7534080591537107,2.8506453996116825,3.0585819877582834,0.004436142355513899,2.07261617808048
a_subj.47,a_subj,True,False,True,a_subj.47,(),['subj_idx'],False,47,,,,,2.2798822275193444,0.09945162800624274,2.0933299724130072,2.2118348850439506,2.276599717937068,2.345417457617332,2.494578532836866,0.0028999535392021008,1.9863673923073892
a_subj.48,a_subj,True,False,True,a_subj.48,(),['subj_idx'],False,48,,,,,2.1138722424736933,0.10880221016463877,1.914489782667062,2.0365608619661013,2.1077314567080916,2.1860844353158235,2.338467551996002,0.0032180777830573674,1.741845359569747
