,knode_name,stochastic,observed,subj,node,tag,depends,hidden,subj_idx,trial,rt,response,gain,loss,sure,mean,std,2.5q,25q,50q,75q,97.5q,mc err,map
a,a,True,False,False,a,(),[],False,,,,,,,,2.701864321197116,0.1036585747531287,2.5095501314351134,2.63311579957534,2.6982204842984974,2.7676683629264454,2.913061799206626,0.0020998803781770306,2.2147261792751185
a_std,a_std,True,False,False,a_std,(),[],False,,,,,,,,0.6327078359592309,0.08252263614596353,0.49429992862370387,0.5752702102634966,0.6221581875054856,0.6796869423448499,0.8189517319710261,0.0020866318987631865,0.32464454968510775
a_rate,a_rate,False,False,False,a_rate,(),[],True,,,,,,,,,,,,,,,,21.013761899907923
a_shape,a_shape,False,False,False,a_shape,(),[],True,,,,,,,,,,,,,,,,46.53972860478012
a_subj.1,a_subj,True,False,True,a_subj.1,(),['subj_idx'],False,1,,,,,,,2.3915742653538765,0.1048160322996498,2.195725658971266,2.320435466356266,2.3893928737591774,2.4592182631493054,2.6088934179012977,0.0032131374808372602,2.049171067672481
a_subj.2,a_subj,True,False,True,a_subj.2,(),['subj_idx'],False,2,,,,,,,2.094630537607651,0.0740656443714867,1.9534404127580056,2.0437203866189915,2.0937804900156594,2.1457354503780457,2.2400937649137136,0.0018822526521249823,1.9076344200865758
a_subj.3,a_subj,True,False,True,a_subj.3,(),['subj_idx'],False,3,,,,,,,2.872647717308925,0.10248017263268909,2.6829558595138248,2.802533211018421,2.8695698299246173,2.9380976017892877,3.081517408447973,0.002318847902464424,2.3271849183696687
a_subj.4,a_subj,True,False,True,a_subj.4,(),['subj_idx'],False,4,,,,,,,2.041540294443459,0.09133592621530302,1.8752777562148073,1.9777578761040184,2.039684914759345,2.0987878326053204,2.2321343050334685,0.0023021562239863443,1.767372751730313
a_subj.5,a_subj,True,False,True,a_subj.5,(),['subj_idx'],False,5,,,,,,,2.264924822773971,0.08224877549599337,2.1062644726111985,2.2091020090695075,2.263147618911402,2.3186128317220396,2.4322556944362206,0.0020074494050737555,1.959938390809112
a_subj.6,a_subj,True,False,True,a_subj.6,(),['subj_idx'],False,6,,,,,,,2.2625017482052945,0.07222500209452029,2.12723865276781,2.2139482738467624,2.2600628968859646,2.30914993188658,2.4113688563528157,0.0016355835056418924,2.0577226902522283
a_subj.7,a_subj,True,False,True,a_subj.7,(),['subj_idx'],False,7,,,,,,,2.520197411463671,0.08977434643752191,2.3557825571857345,2.457900171323203,2.5165875233368427,2.5800585659268176,2.7059836522729603,0.002710261215817221,2.2220265606952156
a_subj.8,a_subj,True,False,True,a_subj.8,(),['subj_idx'],False,8,,,,,,,3.3627578452121787,0.14387816340748572,3.083826479953521,3.2674471547983326,3.3653701410027956,3.4577890745045154,3.64928948204617,0.003224092264770046,2.4512255378473444
a_subj.9,a_subj,True,False,True,a_subj.9,(),['subj_idx'],False,9,,,,,,,2.4777031998009953,0.0914030137354977,2.3068232296284834,2.4136045151461483,2.4743332490487613,2.5383861066702407,2.662289258299338,0.0023242378261906587,2.1254781380843535
a_subj.10,a_subj,True,False,True,a_subj.10,(),['subj_idx'],False,10,,,,,,,3.7948263777383433,0.20504965387872123,3.4221072133929504,3.6497294831541627,3.784817049941117,3.9321044074583087,4.213737024145808,0.00717823237186892,2.495873359154809
a_subj.11,a_subj,True,False,True,a_subj.11,(),['subj_idx'],False,11,,,,,,,2.4595946243123645,0.12121521941541967,2.244546788677573,2.3735180831197913,2.4519222550784505,2.5388506271705453,2.716293565943897,0.0031296358076747417,2.007011044507681
a_subj.12,a_subj,True,False,True,a_subj.12,(),['subj_idx'],False,12,,,,,,,3.0582587367624865,0.10765503120994777,2.858340727936186,2.9840501450592165,3.0543881586509434,3.12741916550669,3.281798809143619,0.0025210212747992494,2.545476518381797
a_subj.13,a_subj,True,False,True,a_subj.13,(),['subj_idx'],False,13,,,,,,,2.846862035410378,0.10537811176464228,2.647925735338195,2.7736248908027648,2.844465642500869,2.917964677212585,3.057348455402563,0.002795431239702598,2.323329710750567
a_subj.14,a_subj,True,False,True,a_subj.14,(),['subj_idx'],False,14,,,,,,,2.943101468745813,0.10532323293908145,2.7473938448121116,2.8684855841384485,2.941939402985073,3.014976433715722,3.1566366700541835,0.0031161054214706293,2.4159126187736977
a_subj.15,a_subj,True,False,True,a_subj.15,(),['subj_idx'],False,15,,,,,,,2.93835781222493,0.10439601553207589,2.749437352759204,2.8648222971177697,2.934590175782179,3.0045970643115796,3.1563045742898006,0.0027120151859548252,2.507196259579615
a_subj.16,a_subj,True,False,True,a_subj.16,(),['subj_idx'],False,16,,,,,,,4.408127947421086,0.25672188103849974,3.94083711584586,4.232941131383624,4.393159933958834,4.574032937323472,4.954843218895674,0.008412501332560638,2.784948298539162
a_subj.17,a_subj,True,False,True,a_subj.17,(),['subj_idx'],False,17,,,,,,,2.898168266059634,0.1431094171718979,2.633132820518976,2.8006831493458395,2.8930232804556866,2.991097909551506,3.195516937638202,0.00410425409185629,2.102386934537985
a_subj.18,a_subj,True,False,True,a_subj.18,(),['subj_idx'],False,18,,,,,,,3.401837237484323,0.2185001054628428,2.9965524047021788,3.2508637437203367,3.3938947842882174,3.5436620039720728,3.8496118571396254,0.00796133297243142,2.232485484945643
a_subj.19,a_subj,True,False,True,a_subj.19,(),['subj_idx'],False,19,,,,,,,2.7413860190118893,0.08723573909818842,2.5744160114358943,2.6803466441251147,2.7381115535172493,2.799861173565957,2.919835171106348,0.0018001642636667637,2.3861131115255327
a_subj.20,a_subj,True,False,True,a_subj.20,(),['subj_idx'],False,20,,,,,,,2.1561126202675363,0.07640087931712156,2.0137282409206856,2.1032586460945177,2.1527008171889968,2.206173983308482,2.310493750659281,0.002071180074493992,1.976914222993023
a_subj.21,a_subj,True,False,True,a_subj.21,(),['subj_idx'],False,21,,,,,,,4.012494179554607,0.13355656730122012,3.7631047769712063,3.921681798048784,4.008303505468499,4.100470880790394,4.28248166943373,0.0031336962018155626,3.1451123443585747
a_subj.22,a_subj,True,False,True,a_subj.22,(),['subj_idx'],False,22,,,,,,,2.337392008678801,0.11133896193371161,2.127474977805791,2.262746418674423,2.331333324746888,2.409950562381575,2.5662228364018413,0.00328608818948205,1.8895283638479166
a_subj.23,a_subj,True,False,True,a_subj.23,(),['subj_idx'],False,23,,,,,,,3.8863393003747664,0.20471794754346045,3.5104735176993755,3.741909933407521,3.880306757076032,4.012999380408206,4.322088920826537,0.006544686639810631,2.6414900387296973
a_subj.24,a_subj,True,False,True,a_subj.24,(),['subj_idx'],False,24,,,,,,,2.039173460278404,0.07728274398988326,1.894216403000355,1.9839163853592887,2.0373551063637803,2.091416949150779,2.196000885768827,0.0018549336654498261,1.7777396065057856
a_subj.25,a_subj,True,False,True,a_subj.25,(),['subj_idx'],False,25,,,,,,,3.487905947123069,0.12264271935802806,3.2522710014962604,3.4034915729864323,3.4842487775580717,3.5677704846913123,3.7355063963516133,0.0029712426961919685,2.7896709474203654
a_subj.26,a_subj,True,False,True,a_subj.26,(),['subj_idx'],False,26,,,,,,,3.489472192382623,0.12382099919301505,3.249966189409245,3.40696322666004,3.485412857842183,3.5720566107445406,3.739898318660162,0.0029855751829548035,2.8388688246947913
a_subj.27,a_subj,True,False,True,a_subj.27,(),['subj_idx'],False,27,,,,,,,2.386679287753563,0.08524406970401782,2.223907442783159,2.3282638408667835,2.3840083558331218,2.4431464804725547,2.5657486878573987,0.0018612313092644214,2.0474361344281817
a_subj.28,a_subj,True,False,True,a_subj.28,(),['subj_idx'],False,28,,,,,,,2.1795410399468556,0.07471479257274032,2.0364206514133256,2.13023458211913,2.176961381442859,2.228714405821357,2.3337747443563863,0.0015791394864423723,2.004904915449996
a_subj.29,a_subj,True,False,True,a_subj.29,(),['subj_idx'],False,29,,,,,,,2.055438852490699,0.07136477273580492,1.9200732027395522,2.0074994559191235,2.053656446477481,2.1016643891129188,2.196473714276213,0.001754534821459021,1.85946730197316
a_subj.30,a_subj,True,False,True,a_subj.30,(),['subj_idx'],False,30,,,,,,,2.465836930256199,0.09852555515279635,2.2855218643247364,2.3972351294901877,2.461340110722076,2.53133107796059,2.6686354367349074,0.002462294346939662,2.0271091136626715
a_subj.31,a_subj,True,False,True,a_subj.31,(),['subj_idx'],False,31,,,,,,,1.8558137000155885,0.06840472910031971,1.7273097825647183,1.8085720695778578,1.8538624007285072,1.9008865286347545,1.991470258749938,0.002005319052385491,1.737168998318638
a_subj.32,a_subj,True,False,True,a_subj.32,(),['subj_idx'],False,32,,,,,,,2.3794663250678822,0.0939902816457794,2.201824557846184,2.3164396926755932,2.3784933875570284,2.4408008493837383,2.572571524351663,0.0028019351113183566,2.117903468436255
a_subj.33,a_subj,True,False,True,a_subj.33,(),['subj_idx'],False,33,,,,,,,2.2476995788792262,0.0750412428070983,2.1054742862752733,2.1967655853840986,2.247558162361645,2.297894997180082,2.3949690974772246,0.0016807039190070965,2.0503369755573804
a_subj.34,a_subj,True,False,True,a_subj.34,(),['subj_idx'],False,34,,,,,,,2.219724853369653,0.08667054355514668,2.0558107154792262,2.1614948619694205,2.217569710186142,2.277174725146709,2.395515030621628,0.002243004577959377,1.9974553807756275
a_subj.35,a_subj,True,False,True,a_subj.35,(),['subj_idx'],False,35,,,,,,,2.7309774279975487,0.10395890023305501,2.5357387552123507,2.6594060940230406,2.7292825366821623,2.7999508508523174,2.9414562276899967,0.0031266775128450915,2.334756553841402
a_subj.36,a_subj,True,False,True,a_subj.36,(),['subj_idx'],False,36,,,,,,,2.730821778972064,0.09281920650853298,2.554845174234951,2.6676991848189955,2.729928044905033,2.7933057867336304,2.9154990601271105,0.0020760788452663134,2.376179509682177
a_subj.37,a_subj,True,False,True,a_subj.37,(),['subj_idx'],False,37,,,,,,,1.7342618659937772,0.05806241424169105,1.62769315772819,1.6936242359892193,1.732193872359622,1.7719646118165937,1.8554456582775458,0.0015193206480885583,1.643279397328411
a_subj.38,a_subj,True,False,True,a_subj.38,(),['subj_idx'],False,38,,,,,,,2.8469293359802608,0.11577445848006412,2.6376074144742034,2.7673609294080217,2.8393514478341473,2.920139939306041,3.0896167478993304,0.0037161877067916635,2.3870556914044765
a_subj.39,a_subj,True,False,True,a_subj.39,(),['subj_idx'],False,39,,,,,,,2.528417171671344,0.09510175846616056,2.3554971521296597,2.4625178551943474,2.525886917961681,2.590497623671133,2.7257625770324534,0.0024443655296642317,2.2017219861785153
t,t,True,False,False,t,(),[],False,,,,,,,,0.42722233157009554,0.0453543558146769,0.34955945085373485,0.39643709027824636,0.42395468617182747,0.45378300104033925,0.5271331578169193,0.001438511329994175,0.4506115347453145
t_std,t_std,True,False,False,t_std,(),[],False,,,,,,,,0.2801881369758751,0.04846572286882108,0.20507643079684684,0.2457250276864742,0.2733888861914607,0.3068899674118136,0.392166636287943,0.0016827505308607612,0.24671809836188283
t_rate,t_rate,False,False,False,t_rate,(),[],True,,,,,,,,,,,,,,,,7.402872791578763
t_shape,t_shape,False,False,False,t_shape,(),[],True,,,,,,,,,,,,,,,,3.3358198701376374
t_subj.1,t_subj,True,False,True,t_subj.1,(),['subj_idx'],False,1,,,,,,,0.3243649312418488,0.011955270673250838,0.297832926477221,0.3171283988899557,0.3254946839735653,0.33311575579595354,0.34412938376688423,0.0002991142894853899,0.33145835241738314
t_subj.2,t_subj,True,False,True,t_subj.2,(),['subj_idx'],False,2,,,,,,,0.5290821413646521,0.020902866429087185,0.48433421234668805,0.5154414521422107,0.5303180106131729,0.5442044394260127,0.566105910103282,0.0005156686723198176,0.5710095493934727
t_subj.3,t_subj,True,False,True,t_subj.3,(),['subj_idx'],False,3,,,,,,,0.509455360647157,0.020169442095417673,0.4660474593208607,0.49692303921016723,0.511433727244923,0.5234650793683159,0.5435765796512423,0.0006189043408594205,0.5362223014785514
t_subj.4,t_subj,True,False,True,t_subj.4,(),['subj_idx'],False,4,,,,,,,0.38541651937004767,0.012466452496043367,0.3578182061802204,0.3782189076696527,0.3867689919388988,0.39407617914059473,0.4062934382230607,0.0003537650453336313,0.40494279299717933
t_subj.5,t_subj,True,False,True,t_subj.5,(),['subj_idx'],False,5,,,,,,,0.4731584039627826,0.014600329172198999,0.440473281081486,0.4647397539087573,0.47469195807761433,0.4833567634986609,0.49703097300702026,0.00032015274801124624,0.5013871605559228
