                           mean         std         2.5q          25q         50q         75q       97.5q       mc err
a                       2.70186    0.103659      2.50955      2.63312     2.69822     2.76767     2.91306   0.00209988
a_std                  0.632708   0.0825226       0.4943      0.57527    0.622158    0.679687    0.818952   0.00208663
a_subj.1                2.39157    0.104816      2.19573      2.32044     2.38939     2.45922     2.60889   0.00321314
a_subj.2                2.09463   0.0740656      1.95344      2.04372     2.09378     2.14574     2.24009   0.00188225
a_subj.3                2.87265     0.10248      2.68296      2.80253     2.86957      2.9381     3.08152   0.00231885
a_subj.4                2.04154   0.0913359      1.87528      1.97776     2.03968     2.09879     2.23213   0.00230216
a_subj.5                2.26492   0.0822488      2.10626       2.2091     2.26315     2.31861     2.43226   0.00200745
a_subj.6                 2.2625    0.072225      2.12724      2.21395     2.26006     2.30915     2.41137   0.00163558
a_subj.7                 2.5202   0.0897743      2.35578       2.4579     2.51659     2.58006     2.70598   0.00271026
a_subj.8                3.36276    0.143878      3.08383      3.26745     3.36537     3.45779     3.64929   0.00322409
a_subj.9                 2.4777    0.091403      2.30682       2.4136     2.47433     2.53839     2.66229   0.00232424
a_subj.10               3.79483     0.20505      3.42211      3.64973     3.78482      3.9321     4.21374   0.00717823
a_subj.11               2.45959    0.121215      2.24455      2.37352     2.45192     2.53885     2.71629   0.00312964
a_subj.12               3.05826    0.107655      2.85834      2.98405     3.05439     3.12742      3.2818   0.00252102
a_subj.13               2.84686    0.105378      2.64793      2.77362     2.84447     2.91796     3.05735   0.00279543
a_subj.14                2.9431    0.105323      2.74739      2.86849     2.94194     3.01498     3.15664   0.00311611
a_subj.15               2.93836    0.104396      2.74944      2.86482     2.93459      3.0046      3.1563   0.00271202
a_subj.16               4.40813    0.256722      3.94084      4.23294     4.39316     4.57403     4.95484    0.0084125
a_subj.17               2.89817    0.143109      2.63313      2.80068     2.89302      2.9911     3.19552   0.00410425
a_subj.18               3.40184      0.2185      2.99655      3.25086     3.39389     3.54366     3.84961   0.00796133
a_subj.19               2.74139   0.0872357      2.57442      2.68035     2.73811     2.79986     2.91984   0.00180016
a_subj.20               2.15611   0.0764009      2.01373      2.10326      2.1527     2.20617     2.31049   0.00207118
a_subj.21               4.01249    0.133557       3.7631      3.92168      4.0083     4.10047     4.28248    0.0031337
a_subj.22               2.33739    0.111339      2.12747      2.26275     2.33133     2.40995     2.56622   0.00328609
a_subj.23               3.88634    0.204718      3.51047      3.74191     3.88031       4.013     4.32209   0.00654469
a_subj.24               2.03917   0.0772827      1.89422      1.98392     2.03736     2.09142       2.196   0.00185493
a_subj.25               3.48791    0.122643      3.25227      3.40349     3.48425     3.56777     3.73551   0.00297124
a_subj.26               3.48947    0.123821      3.24997      3.40696     3.48541     3.57206      3.7399   0.00298558
a_subj.27               2.38668   0.0852441      2.22391      2.32826     2.38401     2.44315     2.56575   0.00186123
a_subj.28               2.17954   0.0747148      2.03642      2.13023     2.17696     2.22871     2.33377   0.00157914
a_subj.29               2.05544   0.0713648      1.92007       2.0075     2.05366     2.10166     2.19647   0.00175453
a_subj.30               2.46584   0.0985256      2.28552      2.39724     2.46134     2.53133     2.66864   0.00246229
a_subj.31               1.85581   0.0684047      1.72731      1.80857     1.85386     1.90089     1.99147   0.00200532
a_subj.32               2.37947   0.0939903      2.20182      2.31644     2.37849      2.4408     2.57257   0.00280194
a_subj.33                2.2477   0.0750412      2.10547      2.19677     2.24756     2.29789     2.39497    0.0016807
a_subj.34               2.21972   0.0866705      2.05581      2.16149     2.21757     2.27717     2.39552     0.002243
a_subj.35               2.73098    0.103959      2.53574      2.65941     2.72928     2.79995     2.94146   0.00312668
