,knode_name,stochastic,observed,subj,node,tag,depends,hidden,subj_idx,trial,rt,response,gain,loss,sure,mean,std,2.5q,25q,50q,75q,97.5q,mc err,map
a,a,True,False,False,a,(),[],False,,,,,,,,2.6933532107344327,0.10630096240611006,2.4896623112405813,2.623354890198795,2.6934400869905515,2.762479366346282,2.906161882158048,0.0016566164024326125,2.225723447971114
a_std,a_std,True,False,False,a_std,(),[],False,,,,,,,,0.6364984757017396,0.08469136840938811,0.499818678454814,0.5762414933993516,0.6272428223562728,0.6873495240425355,0.8287335573244912,0.001867974242377195,0.3264475067170512
a_rate,a_rate,False,False,False,a_rate,(),[],True,,,,,,,,,,,,,,,,20.88548136016217
a_shape,a_shape,False,False,False,a_shape,(),[],True,,,,,,,,,,,,,,,,46.485305585476574
a_subj.1,a_subj,True,False,True,a_subj.1,(),['subj_idx'],False,1,,,,,,,2.3700907617256974,0.10526514933760944,2.1652205775640954,2.29709711430601,2.3689055249459536,2.442316873056234,2.5763828373392834,0.003121478698299657,1.9728576264541635
a_subj.2,a_subj,True,False,True,a_subj.2,(),['subj_idx'],False,2,,,,,,,2.093909517466513,0.0746257674995634,1.9530999874307224,2.0418586553640066,2.092101148631448,2.1429581429602518,2.2437080987977005,0.0019820303318235023,1.9207848461858
a_subj.3,a_subj,True,False,True,a_subj.3,(),['subj_idx'],False,3,,,,,,,2.8712384642301676,0.1031445709046258,2.6732623726497664,2.799813093501926,2.870383212619535,2.94102072936303,3.077630362912951,0.0022944555727481635,2.366499727383649
a_subj.4,a_subj,True,False,True,a_subj.4,(),['subj_idx'],False,4,,,,,,,2.037437290185402,0.0927627029725559,1.868921913270981,1.9728280251222279,2.0325924693480637,2.0973345287496796,2.2346346060526288,0.0020010300612447675,1.799996379929688
a_subj.5,a_subj,True,False,True,a_subj.5,(),['subj_idx'],False,5,,,,,,,2.224115267640679,0.07700210853425668,2.0768404060360774,2.1707669132451417,2.224174243692686,2.2754945128545248,2.3786429333055157,0.0016803585172020935,2.006108580262638
a_subj.6,a_subj,True,False,True,a_subj.6,(),['subj_idx'],False,6,,,,,,,2.2650111124412544,0.07243316364336513,2.1240317707172935,2.2178246015243204,2.2628719721972863,2.312383515711563,2.4103320530147747,0.001624535710523374,2.0639422795571982
a_subj.7,a_subj,True,False,True,a_subj.7,(),['subj_idx'],False,7,,,,,,,2.522842397090253,0.09058551677227555,2.3566364373486057,2.4616447562708887,2.5189582998972786,2.5806079552374785,2.7113083045889277,0.0019902608190115905,2.220269378680865
a_subj.8,a_subj,True,False,True,a_subj.8,(),['subj_idx'],False,8,,,,,,,3.3858284063390895,0.1424808591233748,3.118561604421648,3.287406724235995,3.3806754003578416,3.4794463247816245,3.6733067894864786,0.0038231119825813025,2.4820486991842485
a_subj.9,a_subj,True,False,True,a_subj.9,(),['subj_idx'],False,9,,,,,,,2.463736822401103,0.08776638395568657,2.29970910621025,2.402151018175643,2.4621303318236536,2.5206779821686864,2.6419849757407103,0.002453855259762287,2.1669232104703817
