,knode_name,stochastic,observed,subj,node,tag,depends,hidden,subj_idx,trial,rt,response,gain,loss,sure,mean,std,2.5q,25q,50q,75q,97.5q,mc err,map
a,a,True,False,False,a,(),[],False,,,,,,,,2.679775721270158,0.10406930772864853,2.483344033768333,2.609011595450785,2.6789550733964886,2.749779829005863,2.8858345002271815,0.0018845341980116138,2.160541171959511
a_std,a_std,True,False,False,a_std,(),[],False,,,,,,,,0.6283546546475013,0.08156913976435248,0.49108967745488785,0.5701583209166563,0.6220178386323855,0.6779701468526864,0.8105952642880266,0.001968654164805316,0.32547342802765217
a_rate,a_rate,False,False,False,a_rate,(),[],True,,,,,,,,,,,,,,,,20.39536446391949
a_shape,a_shape,False,False,False,a_shape,(),[],True,,,,,,,,,,,,,,,,44.06502464141798
a_subj.1,a_subj,True,False,True,a_subj.1,(),['subj_idx'],False,1,,,,,,,2.3866340955792356,0.10623242885209727,2.182292714925569,2.3148637509258383,2.3838811165282916,2.4559866222688536,2.6052006507797305,0.0029203133690033503,2.070002044864335
a_subj.2,a_subj,True,False,True,a_subj.2,(),['subj_idx'],False,2,,,,,,,2.083599602570613,0.07400742560489358,1.942638517255404,2.033213888259139,2.081153085894734,2.1328757738528363,2.235332342855735,0.001812890354810268,1.8657960020818731
a_subj.3,a_subj,True,False,True,a_subj.3,(),['subj_idx'],False,3,,,,,,,2.8659255903974734,0.10722047238133399,2.6656838025564267,2.7938689090915356,2.861256014426854,2.935823139522521,3.0873908699118866,0.002470844118703688,2.2666221486977123
a_subj.4,a_subj,True,False,True,a_subj.4,(),['subj_idx'],False,4,,,,,,,2.0174960306060847,0.08789779904596906,1.8508455502743417,1.9570338050763056,2.013115755091769,2.075269266099864,2.1986005057953495,0.00210503102351344,1.6591692569522474
a_subj.5,a_subj,True,False,True,a_subj.5,(),['subj_idx'],False,5,,,,,,,2.2712271113335176,0.08230992451503004,2.1167851837540947,2.2151122351267265,2.2680820197602887,2.324956820034097,2.4427386680127015,0.001836503173512535,1.922028616524987
a_subj.6,a_subj,True,False,True,a_subj.6,(),['subj_idx'],False,6,,,,,,,2.2662121472290866,0.07266920444783936,2.1309620399366316,2.216559538765392,2.262599925001018,2.3120502510372214,2.41880804409438,0.0016958816044268452,2.027426405533389
a_subj.7,a_subj,True,False,True,a_subj.7,(),['subj_idx'],False,7,,,,,,,2.489673964906342,0.08537482699295566,2.3261502621591843,2.431287455436113,2.4869817062804658,2.5451274740500347,2.6655281171950067,0.0018974656013080273,2.144831021272984
a_subj.8,a_subj,True,False,True,a_subj.8,(),['subj_idx'],False,8,,,,,,,3.353549752932794,0.14198623178966446,3.08510576554661,3.2580454084706787,3.3483938265800117,3.446036060837726,3.6466047754628876,0.003838360359047448,2.4253836849967048
a_subj.9,a_subj,True,False,True,a_subj.9,(),['subj_idx'],False,9,,,,,,,2.4727197943389045,0.09283580633086175,2.3033194679731666,2.407952633442376,2.4687125547437567,2.535154764854522,2.667945931372124,0.0024344153461658856,2.070008212957119
