                                mean         std         2.5q          25q         50q         75q       97.5q       mc err
a                            2.67978    0.104069      2.48334      2.60901     2.67896     2.74978     2.88583   0.00188453
a_std                       0.628355   0.0815691      0.49109     0.570158    0.622018     0.67797    0.810595   0.00196865
a_subj.1                     2.38663    0.106232      2.18229      2.31486     2.38388     2.45599      2.6052   0.00292031
a_subj.2                      2.0836   0.0740074      1.94264      2.03321     2.08115     2.13288     2.23533   0.00181289
a_subj.3                     2.86593     0.10722      2.66568      2.79387     2.86126     2.93582     3.08739   0.00247084
a_subj.4                      2.0175   0.0878978      1.85085      1.95703     2.01312     2.07527      2.1986   0.00210503
a_subj.5                     2.27123   0.0823099      2.11679      2.21511     2.26808     2.32496     2.44274    0.0018365
a_subj.6                     2.26621   0.0726692      2.13096      2.21656      2.2626     2.31205     2.41881   0.00169588
a_subj.7                     2.48967   0.0853748      2.32615      2.43129     2.48698     2.54513     2.66553   0.00189747
a_subj.8                     3.35355    0.141986      3.08511      3.25805     3.34839     3.44604      3.6466   0.00383836
a_subj.9                     2.47272   0.0928358      2.30332      2.40795     2.46871     2.53515     2.66795   0.00243442
a_subj.10                     3.7887    0.201479      3.41236      3.65205     3.77962     3.92135     4.20407   0.00635119
a_subj.11                    2.45801    0.117914      2.24645      2.37524     2.45297     2.53317     2.70579   0.00319817
a_subj.12                    3.00051    0.103365      2.81049      2.92935     2.99666     3.07137     3.20961    0.0021797
a_subj.13                    2.85119    0.104282      2.65723      2.77946     2.84917     2.91927     3.06575   0.00220471
a_subj.14                    2.95619    0.112686       2.7401      2.88078     2.95313     3.02914     3.18509    0.0032543
a_subj.15                    2.91741   0.0990468      2.73348      2.84678     2.91471     2.98236     3.12458   0.00294208
a_subj.16                    4.37991    0.253668      3.90419      4.20859     4.37035     4.54029      4.9192   0.00907352
a_subj.17                    2.90835    0.145433      2.63936      2.80564     2.90336     3.00182     3.21498   0.00434547
a_subj.18                    3.38796    0.220373      3.00103      3.22802     3.37454     3.53319     3.86065   0.00736155
a_subj.19                    2.71433   0.0877393      2.55382      2.65199      2.7109     2.77219     2.89189   0.00209898
a_subj.20                    2.08865   0.0699578      1.95722      2.04008     2.08714     2.13425     2.23365   0.00169321
a_subj.21                    3.92636    0.126762      3.68603       3.8387     3.92547     4.01071      4.1766   0.00251162
a_subj.22                     2.2925    0.114801      2.08589      2.20902     2.28685     2.36854        2.53   0.00324729
a_subj.23                    3.86208    0.205408      3.47783      3.72057     3.85175     4.00086     4.29294   0.00609903
a_subj.24                     2.0409   0.0763415      1.89824      1.98847     2.03878     2.09126      2.2013   0.00185793
