,knode_name,stochastic,observed,subj,node,tag,depends,hidden,subj_idx,trial,rt,response,gain,loss,sure,mean,std,2.5q,25q,50q,75q,97.5q,mc err,map
a,a,True,False,False,a,(),[],False,,,,,,,,2.586137642889504,0.08522808707776953,2.4251234928908567,2.5279331881582654,2.5838257052701885,2.6401737073947267,2.7621437485619884,0.0016003718943781906,2.175832980277185
a_std,a_std,True,False,False,a_std,(),[],False,,,,,,,,0.5231037925508706,0.0663422557972582,0.41195986280150854,0.4756838546745295,0.5155110551784512,0.5617714353178871,0.6739226295858909,0.0013026781374060323,0.317739998666086
a_rate,a_rate,False,False,False,a_rate,(),[],True,,,,,,,,,,,,,,,,21.551712083783123
a_shape,a_shape,False,False,False,a_shape,(),[],True,,,,,,,,,,,,,,,,46.89292593333366
a_subj.1,a_subj,True,False,True,a_subj.1,(),['subj_idx'],False,1,,,,,,,2.2842139061517357,0.09959777372782791,2.0986223352254405,2.2151713017630157,2.280048321561361,2.3523739209182226,2.4825852357842417,0.0029807288255632616,2.0325537511299707
a_subj.2,a_subj,True,False,True,a_subj.2,(),['subj_idx'],False,2,,,,,,,2.1004763370063104,0.07642481089899449,1.955736556789605,2.0476329429916538,2.09718540366695,2.151950528484509,2.2525532037628393,0.0017424865500871433,1.9059883541623572
a_subj.3,a_subj,True,False,True,a_subj.3,(),['subj_idx'],False,3,,,,,,,2.822072757111526,0.1123615508211042,2.6078269292019614,2.747450470807671,2.8197533231866503,2.8968842415339005,3.0482274114641674,0.002908970043587354,2.2511697522648317
a_subj.4,a_subj,True,False,True,a_subj.4,(),['subj_idx'],False,4,,,,,,,1.9901339719107323,0.08295038945884756,1.8327923056746007,1.933293796700678,1.9894520550694226,2.044424718919729,2.1566199862882383,0.002165783707334497,1.7183534026565543
a_subj.5,a_subj,True,False,True,a_subj.5,(),['subj_idx'],False,5,,,,,,,2.267214559885973,0.08042029527010575,2.1158389989528548,2.2123664770389215,2.2654339471171974,2.3204008300000796,2.4339031806826004,0.0020070729929244024,1.9404257075980254
a_subj.6,a_subj,True,False,True,a_subj.6,(),['subj_idx'],False,6,,,,,,,2.262419691503811,0.07166459785821845,2.1273998849084395,2.211517944881814,2.2620893136887736,2.309508272849829,2.4084986215134303,0.001588458750467215,2.0531817827956544
a_subj.7,a_subj,True,False,True,a_subj.7,(),['subj_idx'],False,7,,,,,,,2.5270328139589626,0.08939438619931203,2.3608286797168794,2.465955413749471,2.521790905644649,2.585495671706307,2.7147849851577357,0.0025276996768235503,2.215552324391196
a_subj.8,a_subj,True,False,True,a_subj.8,(),['subj_idx'],False,8,,,,,,,3.030683965792997,0.12450214101177966,2.795498919324964,2.9454093516700426,3.0283934749411303,3.1149210095646356,3.27628604695189,0.0036347985999719405,2.3175541327472495
a_subj.9,a_subj,True,False,True,a_subj.9,(),['subj_idx'],False,9,,,,,,,2.4733443222529066,0.08997109447789663,2.3010694944975647,2.411431759444176,2.473226428558247,2.5357084565763452,2.650536878993016,0.0025357557798404546,2.1288005292833967
a_subj.10,a_subj,True,False,True,a_subj.10,(),['subj_idx'],False,10,,,,,,,3.291559994084938,0.14249617900065867,3.026946512742113,3.190759461836227,3.28691608137934,3.3871804963896706,3.579572758676496,0.004277022577266624,2.3747395154519384
a_subj.11,a_subj,True,False,True,a_subj.11,(),['subj_idx'],False,11,,,,,,,2.3260715278774713,0.07986281758173261,2.173189973001669,2.270864299877276,2.3245374587429333,2.378911869601062,2.4852517900639772,0.0017780188882859434,1.9643165639303182
a_subj.12,a_subj,True,False,True,a_subj.12,(),['subj_idx'],False,12,,,,,,,3.0164272573853768,0.10696093999292917,2.8135749978462394,2.94482112196964,3.0121021199759954,3.0863613640520944,3.2379256614850696,0.0027404914971494287,2.496539726266244
a_subj.13,a_subj,True,False,True,a_subj.13,(),['subj_idx'],False,13,,,,,,,2.7925282241201175,0.10390243883362392,2.6026726260607216,2.720853528897886,2.7891607004637518,2.8597942002634733,3.0074632677335744,0.0029640318643152598,2.267610741471646
a_subj.14,a_subj,True,False,True,a_subj.14,(),['subj_idx'],False,14,,,,,,,2.972600701259489,0.1103737622343891,2.764630798837117,2.8972572219636863,2.970723002568846,3.043471240190208,3.203816989402397,0.0029790204075306635,2.40940413662406
a_subj.15,a_subj,True,False,True,a_subj.15,(),['subj_idx'],False,15,,,,,,,2.946961356418516,0.10303342415514465,2.7564981657234098,2.8760439939766687,2.94537572669845,3.0134234486218485,3.157406726298323,0.0025859668664270975,2.499400144807105
a_subj.16,a_subj,True,False,True,a_subj.16,(),['subj_idx'],False,16,,,,,,,3.4299962977718783,0.10128845587607274,3.232781250863699,3.360839171815746,3.4278103508862987,3.497825912279496,3.634161642606853,0.0023546790462492116,2.6896126761732706
a_subj.17,a_subj,True,False,True,a_subj.17,(),['subj_idx'],False,17,,,,,,,2.43050623353509,0.09596408735530403,2.2510300294155314,2.3622982920421522,2.428872369441984,2.495815159220114,2.6279083015318143,0.002548324101413861,1.959260049492282
a_subj.18,a_subj,True,False,True,a_subj.18,(),['subj_idx'],False,18,,,,,,,2.77838395867661,0.09252660364275109,2.601928918397912,2.7162888123697924,2.7760734146835118,2.840359135081814,2.968639990976861,0.002200503384945281,2.1548519729942535
a_subj.19,a_subj,True,False,True,a_subj.19,(),['subj_idx'],False,19,,,,,,,2.693341557818678,0.08676955054395903,2.532013447967132,2.6324806342655864,2.691429977313214,2.75128571160574,2.867858305464064,0.0021152639297546583,2.3450677464313223
a_subj.20,a_subj,True,False,True,a_subj.20,(),['subj_idx'],False,20,,,,,,,2.1587572478945436,0.07638413895568041,2.013783613234494,2.106404217314645,2.1569953106890303,2.2085017896367383,2.31325217478715,0.001887197027141028,1.9772073533344705
a_subj.21,a_subj,True,False,True,a_subj.21,(),['subj_idx'],False,21,,,,,,,3.7837597634069606,0.1061017359763412,3.5841645976312075,3.710187489390983,3.7817393522304874,3.854798596987288,3.9991860250201148,0.0018794800023807022,3.0901152053890684
a_subj.22,a_subj,True,False,True,a_subj.22,(),['subj_idx'],False,22,,,,,,,2.2236939225675036,0.10064510365598302,2.0394777385333844,2.1548271329370112,2.2205141283635137,2.2875435189949047,2.4408684260538296,0.002942887206193367,1.8317759492951378
a_subj.23,a_subj,True,False,True,a_subj.23,(),['subj_idx'],False,23,,,,,,,3.499931515359346,0.1573551852329968,3.215625534817012,3.39383086388876,3.4938835877364687,3.5956368655192197,3.8399776531431553,0.004947000370590934,2.5858761939337405
a_subj.24,a_subj,True,False,True,a_subj.24,(),['subj_idx'],False,24,,,,,,,2.017955354140426,0.06991894333678374,1.8883491940835184,1.9697064922253762,2.0158708960504508,2.063315694340269,2.1640062064785393,0.001568587125115778,1.7415879783713277
a_subj.25,a_subj,True,False,True,a_subj.25,(),['subj_idx'],False,25,,,,,,,3.402843591098478,0.12439870120334073,3.1747522587477253,3.3151049871903093,3.40101317402264,3.4831844382893937,3.6617068670860955,0.0032913911382456912,2.7271417151099278
a_subj.26,a_subj,True,False,True,a_subj.26,(),['subj_idx'],False,26,,,,,,,3.4917640894395645,0.12410115550169215,3.2583202289259448,3.408201082922157,3.4905220367470338,3.5713788768602415,3.7470237938455844,0.0035896319453242857,2.8316515209559543
a_subj.27,a_subj,True,False,True,a_subj.27,(),['subj_idx'],False,27,,,,,,,2.2418753843958794,0.07777845462511121,2.09662554125279,2.1895751580234344,2.240050891179035,2.2930121921580344,2.398689925171136,0.0021885034205910794,1.945684049923723
a_subj.28,a_subj,True,False,True,a_subj.28,(),['subj_idx'],False,28,,,,,,,2.1689505069797645,0.0725660888285564,2.030238321761946,2.1206018428346107,2.1672058478990257,2.217318998302877,2.318994762657833,0.0015230915734859376,1.9877903721109287
a_subj.29,a_subj,True,False,True,a_subj.29,(),['subj_idx'],False,29,,,,,,,1.9900625095019908,0.0713500199910115,1.8510773252249308,1.940103745643286,1.9886109810388075,2.039333806624037,2.1322860566111466,0.0014309010593075656,1.797001365339167
a_subj.30,a_subj,True,False,True,a_subj.30,(),['subj_idx'],False,30,,,,,,,2.3783267560599453,0.10001777003434906,2.1924800763048147,2.3068518942750025,2.374260681488631,2.4449425304419607,2.5817574987343566,0.002824978064623204,1.9567095560238084
a_subj.31,a_subj,True,False,True,a_subj.31,(),['subj_idx'],False,31,,,,,,,1.8465877751331754,0.06817087282495941,1.7202468787687697,1.7987764047789143,1.845205169515103,1.8906614578894798,1.9880957448925431,0.001739597161912532,1.7383188255540234
a_subj.32,a_subj,True,False,True,a_subj.32,(),['subj_idx'],False,32,,,,,,,2.3840328793609498,0.09522281393391278,2.2021788582572572,2.318981658666691,2.382835259521526,2.4450628649194046,2.576891567865702,0.0023948248648231747,2.1180345017287476
a_subj.33,a_subj,True,False,True,a_subj.33,(),['subj_idx'],False,33,,,,,,,2.2465622005755193,0.07809314854223716,2.103974850176853,2.193827628621695,2.2443717176740674,2.295094309143767,2.406962593126515,0.0018959201506689124,2.0462977027099876
a_subj.34,a_subj,True,False,True,a_subj.34,(),['subj_idx'],False,34,,,,,,,2.196068860433421,0.08781053125917218,2.0340937440475293,2.1366599765890584,2.192766189699397,2.2507064392902087,2.3771148471529955,0.001976427611214796,1.9940355843479727
