                            mean          std         2.5q          25q          50q         75q      97.5q       mc err
a                        2.58614    0.0852281      2.42512      2.52793      2.58383     2.64017    2.76214   0.00160037
a_std                   0.523104    0.0663423      0.41196     0.475684     0.515511    0.561771   0.673923   0.00130268
a_subj.1                 2.28421    0.0995978      2.09862      2.21517      2.28005     2.35237    2.48259   0.00298073
a_subj.2                 2.10048    0.0764248      1.95574      2.04763      2.09719     2.15195    2.25255   0.00174249
a_subj.3                 2.82207     0.112362      2.60783      2.74745      2.81975     2.89688    3.04823   0.00290897
a_subj.4                 1.99013    0.0829504      1.83279      1.93329      1.98945     2.04442    2.15662   0.00216578
a_subj.5                 2.26721    0.0804203      2.11584      2.21237      2.26543      2.3204     2.4339   0.00200707
a_subj.6                 2.26242    0.0716646       2.1274      2.21152      2.26209     2.30951     2.4085   0.00158846
a_subj.7                 2.52703    0.0893944      2.36083      2.46596      2.52179      2.5855    2.71478    0.0025277
a_subj.8                 3.03068     0.124502       2.7955      2.94541      3.02839     3.11492    3.27629    0.0036348
a_subj.9                 2.47334    0.0899711      2.30107      2.41143      2.47323     2.53571    2.65054   0.00253576
a_subj.10                3.29156     0.142496      3.02695      3.19076      3.28692     3.38718    3.57957   0.00427702
a_subj.11                2.32607    0.0798628      2.17319      2.27086      2.32454     2.37891    2.48525   0.00177802
a_subj.12                3.01643     0.106961      2.81357      2.94482       3.0121     3.08636    3.23793   0.00274049
a_subj.13                2.79253     0.103902      2.60267      2.72085      2.78916     2.85979    3.00746   0.00296403
a_subj.14                 2.9726     0.110374      2.76463      2.89726      2.97072     3.04347    3.20382   0.00297902
a_subj.15                2.94696     0.103033       2.7565      2.87604      2.94538     3.01342    3.15741   0.00258597
a_subj.16                   3.43     0.101288      3.23278      3.36084      3.42781     3.49783    3.63416   0.00235468
a_subj.17                2.43051    0.0959641      2.25103       2.3623      2.42887     2.49582    2.62791   0.00254832
a_subj.18                2.77838    0.0925266      2.60193      2.71629      2.77607     2.84036    2.96864    0.0022005
a_subj.19                2.69334    0.0867696      2.53201      2.63248      2.69143     2.75129    2.86786   0.00211526
a_subj.20                2.15876    0.0763841      2.01378       2.1064        2.157      2.2085    2.31325    0.0018872
a_subj.21                3.78376     0.106102      3.58416      3.71019      3.78174      3.8548    3.99919   0.00187948
