Subject,Run,Gain,Loss,Response,RT
1,1,1,1,0,2792
1,1,1,2,0,1206
1,1,1,3,0,991
1,1,1,4,0,1256
1,1,1,5,0,1005
1,1,1,6,0,1409
1,1,1,7,0,1080
1,1,1,8,0,1308
1,1,1,9,0,1338
1,1,1,10,0,927
1,1,2,1,0,1981
1,1,2,2,0,1810
1,1,2,3,0,2630
1,1,2,4,0,3744
1,1,2,5,0,989
1,1,2,6,0,1115
1,1,2,7,0,988
1,1,2,8,0,1338
1,1,2,9,0,1493
1,1,2,10,0,1299
1,1,3,1,1,1664
1,1,3,2,0,2074
1,1,3,3,0,1049
1,1,3,4,0,2592
1,1,3,5,0,2523
1,1,3,6,0,1001
1,1,3,7,0,1216
1,1,3,8,0,949
1,1,3,9,0,1032
1,1,3,10,0,1306
1,1,4,1,1,1345
1,1,4,2,1,1358
1,1,4,3,0,4031
1,1,4,4,0,962
1,1,4,5,0,2038
1,1,4,6,0,1105
1,1,4,7,0,2355
1,1,4,8,0,1122
1,1,4,9,0,971
1,1,4,10,0,1735
1,1,5,1,1,1068
1,1,5,2,1,1416
1,1,5,3,0,2098
1,1,5,4,0,1219
1,1,5,5,0,2854
1,1,5,6,0,1437
1,1,5,7,0,975
1,1,5,8,0,1192
1,1,5,9,0,1705
1,1,5,10,0,1311
1,1,6,1,1,1195
1,1,6,2,1,1073
1,1,6,3,1,1261
1,1,6,4,0,1425
1,1,6,5,0,1309
1,1,6,6,0,950
1,1,6,7,0,1569
1,1,6,8,0,1486
1,1,6,9,0,1059
1,1,6,10,0,1207
1,1,7,1,1,1861
1,1,7,2,1,984
1,1,7,3,1,1216
1,1,7,4,1,3029
1,1,7,5,0,1149
1,1,7,6,0,1198
1,1,7,7,0,1008
1,1,7,8,0,1369
1,1,7,9,0,1415
1,1,7,10,0,1189
1,1,8,1,1,2753
1,1,8,2,1,1196
1,1,8,3,1,1101
1,1,8,4,1,1185
1,1,8,5,1,1578
1,1,8,6,0,1832
1,1,8,7,0,1066
1,1,8,8,0,1195
1,1,8,9,0,1104
1,1,8,10,0,1196
1,1,9,1,1,1197
1,1,9,2,1,1115
1,1,9,3,1,1220
1,1,9,4,1,2465
1,1,9,5,1,1455
1,1,9,6,1,2326
1,1,9,7,0,1512
1,1,9,8,0,1103
1,1,9,9,0,1510
1,1,9,10,0,1062
1,1,10,1,1,1046
1,1,10,2,1,956
1,1,10,3,1,1177
1,1,10,4,1,1485
1,1,10,5,1,4136
1,1,10,6,1,1039
1,1,10,7,1,1509
1,1,10,8,0,1370
1,1,10,9,0,1749
1,1,10,10,0,1267
1,2,1,1,0,966
1,2,1,2,0,1741
1,2,1,3,0,1181
1,2,1,4,0,1059
1,2,1,5,0,894
1,2,1,6,0,1193
1,2,1,7,0,1084
1,2,1,8,0,1337
1,2,1,9,0,1577
1,2,1,10,0,1367
1,2,2,1,1,1641
1,2,2,2,0,993
1,2,2,3,0,4401
1,2,2,4,0,967
1,2,2,5,0,992
1,2,2,6,0,1074
1,2,2,7,0,881
1,2,2,8,0,930
1,2,2,9,0,863
1,2,2,10,0,1048
1,2,3,1,1,2278
1,2,3,2,0,1398
1,2,3,3,0,1169
1,2,3,4,0,931
1,2,3,5,0,1835
1,2,3,6,0,892
1,2,3,7,0,909
1,2,3,8,0,2035
1,2,3,9,0,1213
1,2,3,10,0,827
1,2,4,1,1,915
1,2,4,2,1,1751
1,2,4,3,0,1363
1,2,4,4,0,1709
1,2,4,5,0,1500
1,2,4,6,0,1196
1,2,4,7,0,1489
1,2,4,8,0,5108
1,2,4,9,0,823
1,2,4,10,0,1324
1,2,5,1,1,1209
1,2,5,2,1,1370
1,2,5,3,0,1229
1,2,5,4,0,1532
1,2,5,5,0,1500
1,2,5,6,0,1265
1,2,5,7,0,1433
1,2,5,8,0,1721
1,2,5,9,0,1022
1,2,5,10,0,1109
1,2,6,1,1,1157
1,2,6,2,1,1069
1,2,6,3,1,1056
1,2,6,4,1,2759
1,2,6,5,0,797
1,2,6,6,0,1251
1,2,6,7,0,1083
1,2,6,8,0,1016
1,2,6,9,0,1664
1,2,6,10,0,1188
1,2,7,1,1,1121
1,2,7,2,1,905
1,2,7,3,1,1234
1,2,7,4,1,3331
1,2,7,5,0,1851
1,2,7,6,0,867
1,2,7,7,0,1503
1,2,7,8,0,4848
1,2,7,9,0,1862
1,2,7,10,0,1446
1,2,8,1,1,1000
1,2,8,2,1,1221
1,2,8,3,1,1055
1,2,8,4,1,1049
1,2,8,5,0,1856
1,2,8,6,0,3021
1,2,8,7,0,3441
1,2,8,8,0,855
1,2,8,9,0,1030
1,2,8,10,0,1834
1,2,9,1,1,1179
1,2,9,2,1,1077
1,2,9,3,1,1515
1,2,9,4,1,1210
1,2,9,5,0,638
1,2,9,6,1,2167
1,2,9,7,0,1550
1,2,9,8,0,897
1,2,9,9,0,1246
1,2,9,10,0,1519
1,2,10,1,1,1102
1,2,10,2,1,2633
1,2,10,3,1,1015
1,2,10,4,1,1113
1,2,10,5,1,4893
1,2,10,6,1,2339
1,2,10,7,0,1390
1,2,10,8,0,1276
1,2,10,9,0,1461
1,2,10,10,0,941
2,1,1,1,1,1887
2,1,1,2,0,985
2,1,1,3,0,2494
2,1,1,4,0,2554
2,1,1,5,0,2102
2,1,1,6,0,1381
2,1,1,7,0,1214
2,1,1,8,0,1500
2,1,1,9,0,1176
2,1,1,10,0,1095
2,1,2,1,1,2199
2,1,2,2,1,1788
2,1,2,3,0,1430
2,1,2,4,0,1960
2,1,2,5,0,1373
2,1,2,6,0,1379
2,1,2,7,0,1667
2,1,2,8,0,1192
2,1,2,9,0,1294
2,1,2,10,0,1760
2,1,3,1,1,1921
2,1,3,2,1,4811
2,1,3,3,1,1737
2,1,3,4,0,1158
2,1,3,5,0,1939
2,1,3,6,0,2781
2,1,3,7,0,1489
2,1,3,8,0,1506
2,1,3,9,0,1477
2,1,3,10,0,1200
2,1,4,1,1,2656
2,1,4,2,1,1716
2,1,4,3,1,1377
2,1,4,4,1,1659
2,1,4,5,0,1525
2,1,4,6,0,1590
2,1,4,7,0,1347
2,1,4,8,0,1994
2,1,4,9,0,1850
2,1,4,10,0,4714
2,1,5,1,1,1364
2,1,5,2,1,1237
2,1,5,3,1,1448
2,1,5,4,0,5612
2,1,5,5,1,3627
2,1,5,6,0,1271
2,1,5,7,0,1517
2,1,5,8,0,1529
2,1,5,9,0,2499
2,1,5,10,0,1637
2,1,6,1,1,892
2,1,6,2,1,1760
2,1,6,3,1,1766
2,1,6,4,1,1036
2,1,6,5,1,4717
2,1,6,6,1,4178
2,1,6,7,0,1434
2,1,6,8,0,1191
2,1,6,9,0,1719
2,1,6,10,0,1188
2,1,7,1,1,1307
2,1,7,2,1,1202
2,1,7,3,1,1693
2,1,7,4,1,1743
2,1,7,5,1,1186
2,1,7,6,0,3885
2,1,7,7,0,8417
2,1,7,8,0,3227
2,1,7,9,0,1445
2,1,7,10,0,2758
2,1,8,1,1,1346
2,1,8,2,1,1613
2,1,8,3,1,1084
2,1,8,4,1,2617
2,1,8,5,1,1955
2,1,8,6,1,2352
2,1,8,7,1,3748
2,1,8,8,1,2739
2,1,8,9,0,2158
2,1,8,10,0,1939
2,1,9,1,1,1727
2,1,9,2,1,1166
2,1,9,3,1,1210
2,1,9,4,1,1416
2,1,9,5,1,1197
2,1,9,6,1,4441
2,1,9,7,1,1173
2,1,9,8,0,3181
2,1,9,9,1,7142
2,1,9,10,0,1965
2,1,10,1,1,1138
2,1,10,2,1,1529
2,1,10,3,1,1560
2,1,10,4,1,1667
2,1,10,5,1,1813
2,1,10,6,1,1405
2,1,10,7,1,2748
2,1,10,8,1,2488
2,1,10,9,1,10007
2,1,10,10,0,6508
2,2,1,1,1,1243
2,2,1,2,0,1512
2,2,1,3,0,1253
2,2,1,4,0,1517
2,2,1,5,0,949
2,2,1,6,0,909
2,2,1,7,0,934
2,2,1,8,0,1192
2,2,1,9,0,1076
2,2,1,10,0,756
2,2,2,1,1,998
2,2,2,2,1,959
2,2,2,3,0,1114
2,2,2,4,0,1269
2,2,2,5,0,1464
2,2,2,6,0,827
2,2,2,7,0,1243
2,2,2,8,0,994
2,2,2,9,0,688
2,2,2,10,0,1031
2,2,3,1,1,983
2,2,3,2,1,910
2,2,3,3,1,999
2,2,3,4,0,1105
2,2,3,5,0,928
2,2,3,6,0,1047
2,2,3,7,0,1378
2,2,3,8,0,1150
2,2,3,9,0,933
2,2,3,10,0,1025
2,2,4,1,1,1286
2,2,4,2,1,1401
2,2,4,3,1,2133
2,2,4,4,1,1099
2,2,4,5,0,1064
2,2,4,6,0,1181
2,2,4,7,0,1097
2,2,4,8,0,1028
2,2,4,9,0,1190
2,2,4,10,0,1711
2,2,5,1,1,874
2,2,5,2,1,742
2,2,5,3,1,1063
2,2,5,4,1,1807
2,2,5,5,1,1098
2,2,5,6,0,1277
2,2,5,7,0,1057
2,2,5,8,0,1124
2,2,5,9,0,1039
