"","participant_str","participant_num","condition","onset","duration","gain","loss","RT","participant_response","ordinal_response"
"1","sub-001",1,"Equal indifference",4.071,4,14,6,2.388,"weakly_accept",3
"2","sub-001",1,"Equal indifference",11.834,4,34,14,2.289,"strongly_accept",4
"3","sub-001",1,"Equal indifference",19.535,4,34,13,1.873,"strongly_accept",4
"4","sub-001",1,"Equal indifference",27.535,4,10,10,1.457,"weakly_reject",2
"5","sub-001",1,"Equal indifference",36.435,4,12,19,1.973,"strongly_reject",1
"6","sub-001",1,"Equal indifference",43.935,4,20,8,1.767,"weakly_accept",3
"7","sub-001",1,"Equal indifference",50.535,4,28,9,1.561,"strongly_accept",4
"8","sub-001",1,"Equal indifference",59.837,4,20,15,2.289,"weakly_accept",3
"9","sub-001",1,"Equal indifference",65.838,4,10,7,2.287,"weakly_accept",3
"10","sub-001",1,"Equal indifference",71.539,4,16,6,2.08,"weakly_accept",3
"11","sub-001",1,"Equal indifference",80.436,4,16,5,1.871,"weakly_accept",3
"12","sub-001",1,"Equal indifference",89.736,4,10,15,2.08,"strongly_reject",1
"13","sub-001",1,"Equal indifference",95.236,4,16,17,2.288,"weakly_reject",2
"14","sub-001",1,"Equal indifference",100.336,4,20,9,2.807,"weakly_accept",3
"15","sub-001",1,"Equal indifference",105.528,4,24,13,2.08,"weakly_accept",3
"16","sub-001",1,"Equal indifference",113.136,4,18,20,1.872,"weakly_reject",2
"17","sub-001",1,"Equal indifference",122.131,4,22,10,2.393,"strongly_accept",4
"18","sub-001",1,"Equal indifference",128.232,4,38,14,2.079,"strongly_accept",4
"19","sub-001",1,"Equal indifference",135.634,4,38,9,1.458,"strongly_accept",4
"20","sub-001",1,"Equal indifference",141.237,4,28,5,1.766,"strongly_accept",4
"21","sub-001",1,"Equal indifference",148.137,4,32,20,2.495,"weakly_accept",3
"22","sub-001",1,"Equal indifference",155.12,4,32,13,2.806,"weakly_accept",3
"23","sub-001",1,"Equal indifference",163.521,4,14,9,3.223,"weakly_accept",3
"24","sub-001",1,"Equal indifference",171.423,4,32,5,1.454,"strongly_accept",4
