"","participant_str","participant_num","condition","onset","duration","gain","loss","RT","participant_response","ordinal_response"
"257","sub-002",2,"Equal range",4.051,4,5,11,3.015,"weakly_accept",3
"258","sub-002",2,"Equal range",9.733,4,20,9,1.975,"strongly_accept",4
"259","sub-002",2,"Equal range",14.835,4,8,13,1.87,"weakly_reject",2
"260","sub-002",2,"Equal range",21.836,4,14,9,2.392,"weakly_accept",3
"261","sub-002",2,"Equal range",27.333,4,8,18,1.874,"strongly_reject",1
"262","sub-002",2,"Equal range",34.934,4,10,7,2.493,"weakly_accept",3
"263","sub-002",2,"Equal range",41.434,4,16,17,1.458,"strongly_reject",1
"264","sub-002",2,"Equal range",49.134,4,5,14,1.141,"strongly_reject",1
"265","sub-002",2,"Equal range",55.334,4,6,20,1.041,"strongly_reject",1
"266","sub-002",2,"Equal range",62.733,4,12,11,1.976,"weakly_reject",2
"267","sub-002",2,"Equal range",67.934,4,7,9,1.561,"strongly_reject",1
"268","sub-002",2,"Equal range",73.434,4,19,10,1.56,"weakly_accept",3
"269","sub-002",2,"Equal range",81.834,4,11,15,1.56,"strongly_reject",1
"270","sub-002",2,"Equal range",87.434,4,17,8,1.455,"weakly_accept",3
"271","sub-002",2,"Equal range",93.134,4,7,5,1.143,"strongly_reject",1
"272","sub-002",2,"Equal range",101.235,4,6,17,1.145,"strongly_reject",1
"273","sub-002",2,"Equal range",109.135,4,12,16,1.246,"strongly_reject",1
"274","sub-002",2,"Equal range",116.735,4,6,10,1.145,"strongly_reject",1
"275","sub-002",2,"Equal range",122.136,4,10,13,1.144,"strongly_reject",1
"276","sub-002",2,"Equal range",127.838,4,11,12,1.562,"strongly_reject",1
"277","sub-002",2,"Equal range",134.035,4,13,8,1.353,"weakly_reject",2
"278","sub-002",2,"Equal range",140.937,4,14,19,1.249,"strongly_reject",1
"279","sub-002",2,"Equal range",149.835,4,18,7,1.457,"strongly_accept",4
"280","sub-002",2,"Equal range",158.035,4,18,12,1.766,"weakly_reject",2
"281","sub-002",2,"Equal range",163.035,4,8,7,2.078,"weakly_reject",2
"282","sub-002",2,"Equal range",168.235,4,7,11,1.352,"strongly_reject",1
"283","sub-002",2,"Equal range",173.835,4,7,15,1.559,"strongly_reject",1
"284","sub-002",2,"Equal range",179.036,4,15,9,1.767,"weakly_accept",3
"285","sub-002",2,"Equal range",185.736,4,20,8,1.249,"strongly_accept",4
"286","sub-002",2,"Equal range",194.536,4,9,14,1.144,"strongly_reject",1
"287","sub-002",2,"Equal range",202.336,4,20,18,1.873,"weakly_reject",2
"288","sub-002",2,"Equal range",209.736,4,6,14,1.248,"strongly_reject",1
"289","sub-002",2,"Equal range",219.037,4,12,8,1.872,"weakly_reject",2
"290","sub-002",2,"Equal range",224.821,4,16,14,1.558,"weakly_reject",2
"291","sub-002",2,"Equal range",230.239,4,17,15,1.873,"weakly_reject",2
"292","sub-002",2,"Equal range",236.336,4,14,18,1.56,"strongly_reject",1
"293","sub-002",2,"Equal range",245.225,4,9,17,1.039,"strongly_reject",1
"294","sub-002",2,"Equal range",254.326,4,13,15,0.937,"strongly_reject",1
"295","sub-002",2,"Equal range",259.327,4,14,12,1.56,"weakly_reject",2
"296","sub-002",2,"Equal range",266.228,4,17,20,1.247,"strongly_reject",1
"297","sub-002",2,"Equal range",275.53,4,18,13,1.454,"weakly_accept",3
"298","sub-002",2,"Equal range",285.432,4,12,9,1.873,"weakly_accept",3
"299","sub-002",2,"Equal range",293.233,4,5,8,1.145,"strongly_reject",1
"300","sub-002",2,"Equal range",299.834,4,18,5,1.35,"strongly_accept",4
"301","sub-002",2,"Equal range",307.338,4,5,18,1.352,"strongly_reject",1
"302","sub-002",2,"Equal range",313.521,4,14,20,1.042,"strongly_reject",1
"303","sub-002",2,"Equal range",319.521,4,19,18,2.079,"weakly_reject",2
"304","sub-002",2,"Equal range",328.423,4,15,15,2.079,"weakly_reject",2
"305","sub-002",2,"Equal range",337.525,4,5,5,2.08,"weakly_accept",3
"306","sub-002",2,"Equal range",345.526,4,11,11,1.663,"weakly_accept",3
"307","sub-002",2,"Equal range",353.127,4,15,11,2.182,"weakly_accept",3
"308","sub-002",2,"Equal range",358.228,4,10,18,1.35,"strongly_reject",1
"309","sub-002",2,"Equal range",367.929,4,20,15,1.976,"strongly_accept",4
"310","sub-002",2,"Equal range",373.431,4,17,16,1.458,"strongly_reject",1
"311","sub-002",2,"Equal range",379.032,4,11,5,1.769,"weakly_accept",3
"312","sub-002",2,"Equal range",388.634,4,14,7,1.766,"weakly_accept",3
"313","sub-002",2,"Equal range",397.635,4,11,19,1.561,"strongly_reject",1
"314","sub-002",2,"Equal range",405.039,4,11,20,1.04,"strongly_reject",1
"315","sub-002",2,"Equal range",410.822,4,14,5,1.663,"weakly_accept",3
"316","sub-002",2,"Equal range",416.922,4,13,5,1.248,"weakly_accept",3
"317","sub-002",2,"Equal range",423.022,4,18,20,2.184,"weakly_accept",3
"318","sub-002",2,"Equal range",428.523,4,16,16,1.764,"weakly_reject",2
"319","sub-002",2,"Equal range",435.125,4,11,6,1.872,"weakly_reject",2
"320","sub-002",2,"Equal range",441.026,4,19,9,1.247,"strongly_accept",4
"321","sub-002",2,"Equal range",4.055,4,18,18,1.767,"weakly_accept",3
"322","sub-002",2,"Equal range",10.728,4,17,19,1.871,"weakly_reject",2
"323","sub-002",2,"Equal range",19.629,4,12,10,2.391,"weakly_accept",3
"324","sub-002",2,"Equal range",28.731,4,16,18,1.977,"weakly_accept",3
"325","sub-002",2,"Equal range",34.833,4,9,6,1.351,"weakly_reject",2
"326","sub-002",2,"Equal range",41.034,4,9,12,1.249,"weakly_reject",2
"327","sub-002",2,"Equal range",50.939,4,8,14,1.352,"strongly_reject",1
"328","sub-002",2,"Equal range",59.722,4,6,8,0.936,"strongly_reject",1
"329","sub-002",2,"Equal range",66.722,4,5,7,1.041,"strongly_reject",1
"330","sub-002",2,"Equal range",75.122,4,10,9,1.56,"weakly_accept",3
"331","sub-002",2,"Equal range",82.724,4,17,12,1.871,"strongly_accept",4
"332","sub-002",2,"Equal range",90.226,4,19,17,0.935,"strongly_accept",4
"333","sub-002",2,"Equal range",95.727,4,8,17,1.248,"strongly_reject",1
"334","sub-002",2,"Equal range",103.127,4,11,14,1.351,"strongly_reject",1
"335","sub-002",2,"Equal range",109.729,4,20,12,1.04,"strongly_accept",4
"336","sub-002",2,"Equal range",117.53,4,10,8,1.353,"weakly_accept",3
"337","sub-002",2,"Equal range",123.531,4,18,8,1.769,"strongly_accept",4
"338","sub-002",2,"Equal range",130.935,4,15,18,1.456,"weakly_reject",2
"339","sub-002",2,"Equal range",137.834,4,12,5,1.559,"weakly_accept",3
"340","sub-002",2,"Equal range",147.536,4,14,17,1.249,"weakly_reject",2
"341","sub-002",2,"Equal range",153.723,4,15,7,1.767,"weakly_accept",3
"342","sub-002",2,"Equal range",163.323,4,7,12,0.932,"strongly_reject",1
"343","sub-002",2,"Equal range",168.926,4,6,7,1.143,"strongly_reject",1
"344","sub-002",2,"Equal range",174.024,4,16,19,1.562,"weakly_reject",2
"345","sub-002",2,"Equal range",179.724,4,19,16,1.037,"strongly_accept",4
"346","sub-002",2,"Equal range",187.426,4,9,16,1.246,"strongly_reject",1
"347","sub-002",2,"Equal range",192.927,4,5,20,0.937,"strongly_reject",1
"348","sub-002",2,"Equal range",198.128,4,14,11,1.352,"weakly_reject",2
"349","sub-002",2,"Equal range",203.529,4,15,6,1.352,"weakly_accept",3
"350","sub-002",2,"Equal range",208.73,4,17,11,1.77,"weakly_accept",3
"351","sub-002",2,"Equal range",213.93,4,10,19,1.245,"strongly_reject",1
"352","sub-002",2,"Equal range",219.832,4,6,13,0.936,"strongly_reject",1
"353","sub-002",2,"Equal range",225.433,4,12,12,1.456,"weakly_accept",3
"354","sub-002",2,"Equal range",231.134,4,19,15,1.037,"strongly_accept",4
"355","sub-002",2,"Equal range",238.735,4,7,16,1.041,"strongly_reject",1
"356","sub-002",2,"Equal range",247.724,4,19,8,1.142,"strongly_accept",4
"357","sub-002",2,"Equal range",253.825,4,16,7,1.872,"strongly_accept",4
"358","sub-002",2,"Equal range",259.224,4,19,13,1.56,"strongly_accept",4
"359","sub-002",2,"Equal range",266.825,4,11,16,1.249,"strongly_reject",1
"360","sub-002",2,"Equal range",275.024,4,12,20,1.041,"strongly_reject",1
"361","sub-002",2,"Equal range",282.826,4,16,13,1.764,"weakly_accept",3
"362","sub-002",2,"Equal range",287.827,4,5,17,0.936,"strongly_reject",1
"363","sub-002",2,"Equal range",293.528,4,18,16,1.353,"strongly_accept",4
"364","sub-002",2,"Equal range",302.629,4,16,10,1.97,"strongly_accept",4
"365","sub-002",2,"Equal range",308.131,4,12,6,1.247,"weakly_accept",3
"366","sub-002",2,"Equal range",317.032,4,5,19,1.041,"strongly_reject",1
"367","sub-002",2,"Equal range",322.533,4,14,6,1.144,"weakly_accept",3
"368","sub-002",2,"Equal range",330.435,4,19,6,1.353,"strongly_accept",4
"369","sub-002",2,"Equal range",336.035,4,11,13,1.04,"strongly_reject",1
"370","sub-002",2,"Equal range",344.126,4,13,11,1.04,"weakly_accept",3
"371","sub-002",2,"Equal range",350.726,4,20,19,0.833,"strongly_accept",4
"372","sub-002",2,"Equal range",360.026,4,6,15,1.351,"strongly_reject",1
"373","sub-002",2,"Equal range",368.926,4,14,15,1.872,"weakly_accept",3
"374","sub-002",2,"Equal range",375.026,4,13,14,1.562,"weakly_reject",2
"375","sub-002",2,"Equal range",380.027,4,8,11,1.354,"strongly_reject",1
"376","sub-002",2,"Equal range",386.227,4,9,19,1.04,"strongly_reject",1
"377","sub-002",2,"Equal range",391.328,4,8,9,1.145,"strongly_reject",1
"378","sub-002",2,"Equal range",397.83,4,19,12,1.352,"strongly_accept",4
"379","sub-002",2,"Equal range",405.231,4,18,6,0.937,"strongly_accept",4
"380","sub-002",2,"Equal range",412.132,4,6,9,1.146,"strongly_reject",1
"381","sub-002",2,"Equal range",417.933,4,11,17,1.248,"strongly_reject",1
"382","sub-002",2,"Equal range",427.235,4,8,5,1.145,"strongly_reject",1
"383","sub-002",2,"Equal range",435.236,4,14,10,1.77,"weakly_accept",3
"384","sub-002",2,"Equal range",441.027,4,13,16,1.874,"weakly_reject",2
"385","sub-002",2,"Equal range",4.051,4,12,19,1.764,"strongly_reject",1
"386","sub-002",2,"Equal range",12.934,4,7,13,1.248,"weakly_reject",2
"387","sub-002",2,"Equal range",21.134,4,13,19,1.353,"strongly_reject",1
"388","sub-002",2,"Equal range",27.334,4,19,14,1.145,"strongly_accept",4
"389","sub-002",2,"Equal range",33.134,4,15,5,1.457,"weakly_accept",3
"390","sub-002",2,"Equal range",38.334,4,12,13,1.872,"weakly_reject",2
"391","sub-002",2,"Equal range",47.634,4,10,12,1.456,"weakly_reject",2
"392","sub-002",2,"Equal range",57.335,4,8,15,1.559,"weakly_reject",2
"393","sub-002",2,"Equal range",66.237,4,17,7,1.767,"strongly_accept",4
"394","sub-002",2,"Equal range",71.438,4,13,6,1.868,"weakly_accept",3
"395","sub-002",2,"Equal range",80.335,4,17,10,1.248,"strongly_accept",4
"396","sub-002",2,"Equal range",86.035,4,6,5,1.25,"strongly_reject",1
"397","sub-002",2,"Equal range",94.835,4,7,18,1.039,"strongly_reject",1
"398","sub-002",2,"Equal range",102.935,4,10,14,1.453,"strongly_reject",1
"399","sub-002",2,"Equal range",108.635,4,16,6,1.663,"weakly_accept",3
"400","sub-002",2,"Equal range",114.735,4,16,5,1.352,"weakly_accept",3
"401","sub-002",2,"Equal range",122.336,4,12,17,1.352,"weakly_reject",2
"402","sub-002",2,"Equal range",130.136,4,17,9,1.144,"strongly_accept",4
"403","sub-002",2,"Equal range",135.735,4,9,8,1.56,"weakly_accept",3
