,subj_idx,response,rt,gain,loss
0,2,1.0,3.015,5,-11
1,2,1.0,1.975,20,-9
2,2,0.0,1.87,8,-13
3,2,1.0,2.392,14,-9
4,2,0.0,1.874,8,-18
5,2,1.0,2.4930000000000003,10,-7
6,2,0.0,1.4580000000000002,16,-17
7,2,0.0,1.141,5,-14
8,2,0.0,1.041,6,-20
9,2,0.0,1.976,12,-11
10,2,0.0,1.561,7,-9
11,2,1.0,1.56,19,-10
12,2,0.0,1.56,11,-15
13,2,1.0,1.455,17,-8
14,2,0.0,1.143,7,-5
15,2,0.0,1.145,6,-17
16,2,0.0,1.246,12,-16
17,2,0.0,1.145,6,-10
18,2,0.0,1.1440000000000001,10,-13
19,2,0.0,1.5619999999999998,11,-12
20,2,0.0,1.3530000000000002,13,-8
21,2,0.0,1.249,14,-19
22,2,1.0,1.4569999999999999,18,-7
23,2,0.0,1.766,18,-12
24,2,0.0,2.0780000000000003,8,-7
25,2,0.0,1.3519999999999999,7,-11
26,2,0.0,1.5590000000000002,7,-15
27,2,1.0,1.767,15,-9
28,2,1.0,1.249,20,-8
29,2,0.0,1.1440000000000001,9,-14
30,2,0.0,1.8730000000000002,20,-18
31,2,0.0,1.248,6,-14
32,2,0.0,1.8719999999999999,12,-8
33,2,0.0,1.558,16,-14
34,2,0.0,1.8730000000000002,17,-15
35,2,0.0,1.56,14,-18
36,2,0.0,1.0390000000000001,9,-17
37,2,0.0,0.937,13,-15
38,2,0.0,1.56,14,-12
39,2,0.0,1.247,17,-20
40,2,1.0,1.454,18,-13
41,2,1.0,1.8730000000000002,12,-9
42,2,0.0,1.145,5,-8
43,2,1.0,1.35,18,-5
44,2,0.0,1.3519999999999999,5,-18
45,2,0.0,1.042,14,-20
46,2,0.0,2.079,19,-18
47,2,0.0,2.079,15,-15
48,2,1.0,2.08,5,-5
49,2,1.0,1.663,11,-11
50,2,1.0,2.182,15,-11
51,2,0.0,1.35,10,-18
52,2,1.0,1.976,20,-15
53,2,0.0,1.4580000000000002,17,-16
54,2,1.0,1.7690000000000001,11,-5
55,2,1.0,1.766,14,-7
56,2,0.0,1.561,11,-19
57,2,0.0,1.04,11,-20
58,2,1.0,1.663,14,-5
59,2,1.0,1.248,13,-5
60,2,1.0,2.184,18,-20
61,2,0.0,1.764,16,-16
62,2,0.0,1.8719999999999999,11,-6
63,2,1.0,1.247,19,-9
64,2,1.0,1.767,18,-18
65,2,0.0,1.871,17,-19
66,2,1.0,2.391,12,-10
67,2,1.0,1.9769999999999999,16,-18
68,2,0.0,1.351,9,-6
69,2,0.0,1.249,9,-12
70,2,0.0,1.3519999999999999,8,-14
71,2,0.0,0.9359999999999999,6,-8
72,2,0.0,1.041,5,-7
73,2,1.0,1.56,10,-9
74,2,1.0,1.871,17,-12
75,2,1.0,0.935,19,-17
76,2,0.0,1.248,8,-17
77,2,0.0,1.351,11,-14
78,2,1.0,1.04,20,-12
79,2,1.0,1.3530000000000002,10,-8
80,2,1.0,1.7690000000000001,18,-8
81,2,0.0,1.456,15,-18
82,2,1.0,1.5590000000000002,12,-5
83,2,0.0,1.249,14,-17
84,2,1.0,1.767,15,-7
85,2,0.0,0.932,7,-12
86,2,0.0,1.143,6,-7
87,2,0.0,1.5619999999999998,16,-19
88,2,1.0,1.037,19,-16
89,2,0.0,1.246,9,-16
90,2,0.0,0.937,5,-20
91,2,0.0,1.3519999999999999,14,-11
92,2,1.0,1.3519999999999999,15,-6
93,2,1.0,1.77,17,-11
94,2,0.0,1.245,10,-19
95,2,0.0,0.9359999999999999,6,-13
96,2,1.0,1.456,12,-12
97,2,1.0,1.037,19,-15
98,2,0.0,1.041,7,-16
99,2,1.0,1.1420000000000001,19,-8
100,2,1.0,1.8719999999999999,16,-7
101,2,1.0,1.56,19,-13
102,2,0.0,1.249,11,-16
103,2,0.0,1.041,12,-20
104,2,1.0,1.764,16,-13
105,2,0.0,0.9359999999999999,5,-17
106,2,1.0,1.3530000000000002,18,-16
107,2,1.0,1.97,16,-10
