,knode_name,stochastic,observed,subj,node,tag,depends,hidden,subj_idx,gain,loss,rt,response,mean,std,2.5q,25q,50q,75q,97.5q,mc err,map
a,a,True,False,False,a,(),[],False,,,,,,2.435422527384623,0.05209187050594223,2.3310760360438194,2.4019008095855474,2.4354776359869414,2.469800183286569,2.5435778671928677,0.0010254921371738355,2.0738805958468216
a_std,a_std,True,False,False,a_std,(),[],False,,,,,,0.3606668169108939,0.0392280344862378,0.29414258037659713,0.3329884868613108,0.3577962608401396,0.3849981671650943,0.44513643270563624,0.0008144930888251056,0.22508298986323322
a_rate,a_rate,False,False,False,a_rate,(),[],True,,,,,,,,,,,,,,40.93533956953321
a_shape,a_shape,False,False,False,a_shape,(),[],True,,,,,,,,,,,,,,84.89500641765551
a_subj.2,a_subj,True,False,True,a_subj.2,(),['subj_idx'],False,2,,,,,2.010303329340081,0.07606085957031182,1.8682767172197674,1.9583325885001721,2.008710682102272,2.060767249275691,2.165952803550318,0.002189661083530916,1.7623982042504014
a_subj.4,a_subj,True,False,True,a_subj.4,(),['subj_idx'],False,4,,,,,2.7781141285531,0.11394654404781387,2.56605130352767,2.6998556752240974,2.7718273967413003,2.851667671509744,3.009828206938167,0.004047900441586684,2.2956258991918514
a_subj.6,a_subj,True,False,True,a_subj.6,(),['subj_idx'],False,6,,,,,1.9991774521269976,0.07954468678453518,1.8443862049456188,1.945011728024013,1.9967150904834052,2.053181859116436,2.1588407754071923,0.002645065660709564,1.8202574728370988
a_subj.8,a_subj,True,False,True,a_subj.8,(),['subj_idx'],False,8,,,,,2.2897407409793407,0.09939011601860018,2.1068220599988186,2.2219440325081274,2.2841513372274433,2.35393439515042,2.4980433269582987,0.0029871387049406396,1.9463207990599154
a_subj.10,a_subj,True,False,True,a_subj.10,(),['subj_idx'],False,10,,,,,2.9445094200040156,0.12383950315763068,2.7114638532699553,2.858165690872203,2.9434385122269235,3.029973786351411,3.1943249425615106,0.004356302943281606,2.3839606651774545
a_subj.14,a_subj,True,False,True,a_subj.14,(),['subj_idx'],False,14,,,,,2.22200863723514,0.09332887941541068,2.0455149708001725,2.157969616177103,2.218605521278924,2.283485842214885,2.414022960396628,0.003954786877699271,1.9527757235025835
a_subj.16,a_subj,True,False,True,a_subj.16,(),['subj_idx'],False,16,,,,,2.2810287481342786,0.07619340176585607,2.135160398189035,2.227591960777902,2.278639275089979,2.3328601333029937,2.435075988525946,0.0021380035493738015,2.063864858570748
a_subj.18,a_subj,True,False,True,a_subj.18,(),['subj_idx'],False,18,,,,,1.843647817523098,0.07352055662345666,1.7088110198382,1.7917990368603631,1.8416704686494882,1.8912324948406352,1.9952727193812299,0.0023744687326600045,1.6755215012443188
a_subj.20,a_subj,True,False,True,a_subj.20,(),['subj_idx'],False,20,,,,,2.751464883010352,0.10264667328870236,2.5604782408685187,2.679749165999166,2.7482264083017633,2.8212863507415187,2.966039445128242,0.0029423935215720947,2.3186134472058355
a_subj.22,a_subj,True,False,True,a_subj.22,(),['subj_idx'],False,22,,,,,2.775503652695414,0.10898109678138695,2.5726131922308833,2.6974714828192092,2.772367332291882,2.8452834823320585,2.9989876127453603,0.0030172833210769297,2.2860947637009854
a_subj.24,a_subj,True,False,True,a_subj.24,(),['subj_idx'],False,24,,,,,2.3388514686540964,0.10132313252453488,2.1444853723819133,2.2699676239763344,2.337623748418232,2.4067225695792978,2.5441644220075204,0.0033911302926601474,1.9674843116358343
a_subj.26,a_subj,True,False,True,a_subj.26,(),['subj_idx'],False,26,,,,,3.23319451839012,0.12939430621709558,2.983350425571031,3.1473797381480306,3.227576282521027,3.318976313435199,3.4963002143375936,0.004333131789485935,2.526502798302504
a_subj.30,a_subj,True,False,True,a_subj.30,(),['subj_idx'],False,30,,,,,1.9961280718650214,0.08412283168898521,1.8344093869333948,1.9394765172454118,1.9943438660235113,2.051807706321563,2.163870446765234,0.0031246400489862323,1.7718902769790188
