,subj_idx,response,rt,gain,loss
0,1,0,2.792,1,-1
1,1,0,1.206,1,-2
2,1,0,0.991,1,-3
3,1,0,1.256,1,-4
4,1,0,1.005,1,-5
5,1,0,1.409,1,-6
6,1,0,1.08,1,-7
7,1,0,1.308,1,-8
8,1,0,1.338,1,-9
9,1,0,0.927,1,-10
10,1,0,1.981,2,-1
11,1,0,1.81,2,-2
12,1,0,2.63,2,-3
13,1,0,3.744,2,-4
14,1,0,0.989,2,-5
15,1,0,1.115,2,-6
16,1,0,0.988,2,-7
17,1,0,1.338,2,-8
18,1,0,1.493,2,-9
19,1,0,1.299,2,-10
20,1,1,1.664,3,-1
21,1,0,2.074,3,-2
22,1,0,1.049,3,-3
23,1,0,2.592,3,-4
24,1,0,2.523,3,-5
25,1,0,1.001,3,-6
26,1,0,1.216,3,-7
27,1,0,0.949,3,-8
28,1,0,1.032,3,-9
29,1,0,1.306,3,-10
30,1,1,1.345,4,-1
31,1,1,1.358,4,-2
32,1,0,4.031,4,-3
33,1,0,0.962,4,-4
34,1,0,2.038,4,-5
35,1,0,1.105,4,-6
36,1,0,2.355,4,-7
37,1,0,1.122,4,-8
38,1,0,0.971,4,-9
39,1,0,1.735,4,-10
40,1,1,1.068,5,-1
41,1,1,1.416,5,-2
42,1,0,2.098,5,-3
43,1,0,1.219,5,-4
44,1,0,2.854,5,-5
45,1,0,1.437,5,-6
46,1,0,0.975,5,-7
47,1,0,1.192,5,-8
48,1,0,1.705,5,-9
49,1,0,1.311,5,-10
50,1,1,1.195,6,-1
51,1,1,1.073,6,-2
52,1,1,1.261,6,-3
53,1,0,1.425,6,-4
54,1,0,1.309,6,-5
55,1,0,0.95,6,-6
56,1,0,1.569,6,-7
57,1,0,1.486,6,-8
58,1,0,1.059,6,-9
59,1,0,1.207,6,-10
60,1,1,1.861,7,-1
61,1,1,0.984,7,-2
62,1,1,1.216,7,-3
63,1,1,3.029,7,-4
64,1,0,1.149,7,-5
65,1,0,1.198,7,-6
66,1,0,1.008,7,-7
67,1,0,1.369,7,-8
68,1,0,1.415,7,-9
69,1,0,1.189,7,-10
70,1,1,2.753,8,-1
71,1,1,1.196,8,-2
72,1,1,1.101,8,-3
73,1,1,1.185,8,-4
74,1,1,1.578,8,-5
75,1,0,1.832,8,-6
76,1,0,1.066,8,-7
77,1,0,1.195,8,-8
78,1,0,1.104,8,-9
79,1,0,1.196,8,-10
80,1,1,1.197,9,-1
81,1,1,1.115,9,-2
82,1,1,1.22,9,-3
83,1,1,2.465,9,-4
84,1,1,1.455,9,-5
85,1,1,2.326,9,-6
86,1,0,1.512,9,-7
87,1,0,1.103,9,-8
88,1,0,1.51,9,-9
89,1,0,1.062,9,-10
90,1,1,1.046,10,-1
91,1,1,0.956,10,-2
92,1,1,1.177,10,-3
93,1,1,1.485,10,-4
94,1,1,4.136,10,-5
95,1,1,1.039,10,-6
