increaseValue,decreaseValue,response, RT
1,15,1, 3.652
15,10,0, 1.789
25,20,0, 0.907
15,25,1, 1.939
1,25,0, 2.198
20,15,0, 1.084
10,1,1, 0.760
20,20,0, 5.091
20,15,0, 4.229
1,20,0, 1.170
1,15,0, 0.771
1,5,0, 1.325
10,20,1, 1.363
10,5,1, 1.934
15,20,0, 0.796
20,5,1, 2.244
25,10,0, 1.712
10,25,1, 0.838
10,5,0, 3.635
5,10,0, 0.988
15,15,0, 1.624
20,5,0, 0.916
10,10,0, 0.733
25,1,0, 1.111
10,10,0, 0.553
15,15,0, 0.554
15,1,0, 0.804
5,20,0, 4.904
25,5,0, 3.355
10,25,1, 0.968
10,15,0, 1.031
15,10,0, 0.863
5,10,0, 1.055
25,10,1, 1.131
5,5,0, 0.963
15,25,0, 0.754
15,5,1, 4.667
5,15,0, 1.001
25,15,0, 1.163
5,1,1, 0.996
20,20,0, 1.039
20,1,1, 0.992
15,1,1, 1.072
10,1,0, 0.651
5,1,0, 1.053
5,15,1, 1.170
10,20,0, 0.967
15,20,0, 0.688
1,1,1, 0.672
25,5,1, 1.021
25,20,0, 0.773
1,10,1, 0.944
25,25,0, 0.728
15,5,0, 2.316
25,1,1, 0.839
1,10,1, 1.018
5,25,1, 1.048
1,5,1, 4.060
20,10,0, 0.705
1,20,1, 0.622
5,25,0, 0.869
1,1,1, 0.715
25,15,1, 3.048
10,15,0, 2.801
5,20,1, 0.869
25,25,0, 0.823
20,10,0, 1.220
5,5,1, 0.666
20,25,0, 3.005
20,25,0, 2.894
20,1,0, 0.823
1,25,1, 0.785
