increaseValue,decreaseValue,response, RT
20,10,0, 7.385
25,20,1, 6.236
25,5,1, 1.451
1,5,0, 2.899
10,25,0, 1.301
1,10,0, 1.689
5,5,1, 6.558
20,20,1, 5.300
5,1,0, 1.834
20,1,1, 2.989
15,5,0, 1.337
10,25,1, 1.293
20,25,0, 2.400
10,20,1, 1.197
10,15,0, 10.818
25,25,1, 1.835
15,15,1, 7.309
5,20,0, 3.849
10,5,0, 1.278
5,5,1, 2.361
25,1,1, 1.153
25,20,0, 1.615
25,10,1, 1.361
5,10,0, 2.423
25,25,1, 1.635
15,20,0, 3.009
10,1,0, 1.356
10,5,1, 1.559
1,15,0, 1.085
5,15,0, 4.166
15,15,1, 2.195
25,15,1, 1.551
1,25,1, 0.761
25,5,0, 1.850
1,20,1, 1.002
10,10,1, 9.927
10,10,1, 3.778
5,20,1, 0.850
5,10,1, 0.802
20,5,0, 1.281
25,15,0, 3.456
1,20,0, 1.987
15,25,0, 2.580
1,15,1, 2.724
15,1,0, 1.383
20,1,0, 0.732
25,1,0, 2.478
15,10,1, 2.035
20,5,1, 1.880
1,1,1, 5.113
1,1,1, 0.861
15,25,1, 1.157
15,20,1, 0.764
20,20,1, 1.622
5,15,0, 1.200
5,1,1, 6.447
10,1,1, 0.806
15,5,1, 1.526
20,25,1, 1.544
10,20,0, 3.936
15,1,1, 2.357
5,25,0, 1.008
15,10,0, 6.347
20,10,1, 2.789
20,15,1, 1.594
1,10,1, 0.734
1,25,0, 0.953
20,15,0, 2.149
5,25,1, 1.028
25,10,0, 1.686
1,5,1, 0.996
10,15,1, 1.023
