increaseValue,decreaseValue,response, RT
15,10,0, 5.627
1,5,1, 2.899
10,1,0, 1.141
5,5,1, 2.799
5,20,1, 1.735
20,25,0, 2.794
20,15,0, 3.034
5,25,1, 0.988
20,20,0, 1.298
25,20,0, 1.858
1,1,1, 1.130
20,1,0, 2.305
20,10,0, 1.440
15,15,0, 1.478
25,25,0, 1.609
1,25,0, 2.040
10,20,1, 2.856
10,5,0, 1.172
1,1,1, 1.492
15,15,0, 1.238
15,5,0, 1.574
20,15,0, 1.258
15,20,1, 2.500
10,25,1, 1.461
25,1,0, 1.106
20,25,0, 2.064
5,25,1, 1.455
10,15,1, 2.443
1,20,1, 1.480
1,15,1, 1.015
15,25,0, 2.873
10,15,1, 1.805
20,10,0, 1.288
1,10,1, 1.530
15,25,0, 1.990
10,10,0, 1.965
1,20,1, 3.587
1,10,1, 2.306
15,1,0, 1.184
15,20,0, 1.451
25,5,0, 1.321
20,5,0, 1.321
25,10,0, 0.950
5,10,1, 1.352
1,25,1, 0.988
25,10,0, 1.536
5,15,1, 1.636
15,10,0, 3.906
10,25,1, 1.302
5,10,1, 6.577
10,1,0, 0.998
20,1,0, 0.783
15,1,0, 0.701
10,5,0, 1.974
20,5,0, 0.901
25,15,0, 1.486
5,1,0, 2.691
5,5,0, 1.168
25,5,0, 1.924
20,20,0, 2.989
25,20,0, 0.946
10,20,1, 2.862
1,15,1, 1.131
5,1,0, 1.283
1,5,0, 1.127
5,20,1, 3.269
25,15,0, 3.267
10,10,0, 1.123
25,25,0, 3.064
15,5,0, 1.333
5,15,1, 1.074
25,1,0, 0.945
