"Timestamp","The alternate route can result in a loss of 2 min or a gain of 20 min","The alternate route can result in a loss of 5 min or a gain of 20 min","The alternate route can result in a loss of 10 min or a gain of 20 min","The alternate route can result in a loss of 15 min or a gain of 20 min","The alternate route can result in a loss of 20 min or a gain of 20 min","The alternate route can result in a loss of 25 min or a gain of 20 min","The alternate route can result in a loss of 30 min or a gain of 20 min","The alternate route can result in a loss of 35 min or a gain of 20 min","How important is it to be punctual according to you?","Please enter your age (in years)","Please enter your gender","Please enter your marital status","How frequently do you commute on a weekly basis?","How often do you use navigation apps (such as google maps) while commuting?","Do you consider alternate routes while using navigation apps? (choose what describes you best)"
"2020/03/24 2:01:42 PM GMT+5:30","Accept alternate route","Accept alternate route","Accept alternate route","Reject alternate route","Reject alternate route","Reject alternate route","Reject alternate route","Reject alternate route","4","17","Male","Single","3","3","I usually take the route suggested by the app"
"2020/03/24 2:19:11 PM GMT+5:30","Accept alternate route","Accept alternate route","Accept alternate route","Reject alternate route","Reject alternate route","Reject alternate route","Reject alternate route","Reject alternate route","4","18","Male","Single","1","3","I consider alternate routes and use my judgement to decide which route is best"
"2020/03/24 5:29:46 PM GMT+5:30","Accept alternate route","Accept alternate route","Reject alternate route","Reject alternate route","Reject alternate route","Reject alternate route","Reject alternate route","Reject alternate route","3","20","Male","Single","1","3","I always take the default route"
"2020/03/24 5:31:23 PM GMT+5:30","Accept alternate route","Accept alternate route","Reject alternate route","Reject alternate route","Reject alternate route","Reject alternate route","Reject alternate route","Reject alternate route","4","19","Male","Single","2","3","I usually take the route suggested by the app"
"2020/03/24 5:32:05 PM GMT+5:30","Accept alternate route","Accept alternate route","Reject alternate route","Reject alternate route","Reject alternate route","Reject alternate route","Reject alternate route","Reject alternate route","5","17","Male","Single","2","3","I consider alternate routes and use my judgement to decide which route is best"
"2020/03/24 5:34:35 PM GMT+5:30","Accept alternate route","Accept alternate route","Reject alternate route","Reject alternate route","Reject alternate route","Reject alternate route","Reject alternate route","Reject alternate route","5","20","Male","Single","2","2","I consider alternate routes and use my judgement to decide which route is best"
"2020/03/24 5:35:16 PM GMT+5:30","Accept alternate route","Accept alternate route","Accept alternate route","Reject alternate route","Reject alternate route","Reject alternate route","Reject alternate route","Reject alternate route","4","20","Male","Single","2","1","I consider alternate routes and use my judgement to decide which route is best"
"2020/03/24 5:38:59 PM GMT+5:30","Accept alternate route","Accept alternate route","Accept alternate route","Accept alternate route","Accept alternate route","Accept alternate route","Accept alternate route","Accept alternate route","3","21","Male","Single","3","2","I consider alternate routes and use my judgement to decide which route is best"
"2020/03/24 5:42:11 PM GMT+5:30","Accept alternate route","Accept alternate route","Accept alternate route","Reject alternate route","Reject alternate route","Reject alternate route","Reject alternate route","Reject alternate route","5","21","Male","Single","2","3","I usually take the route suggested by the app"
"2020/03/24 5:45:05 PM GMT+5:30","Accept alternate route","Accept alternate route","Reject alternate route","Reject alternate route","Reject alternate route","Reject alternate route","Reject alternate route","Reject alternate route","4","20","Male","Single","2","2","I usually take the route suggested by the app"
